policy_loss,explained_variance,value_loss,total_timesteps,fps,nupdates,policy_entropy
0.008545564487576485,0.9536008276045322,0.16198626160621643,1776600,1884,6345,0.11057467013597488
-0.07981044054031372,0.9591679610311985,0.15512564778327942,1776880,1884,6346,0.08796164393424988
-0.07376435399055481,0.9378042034804821,0.2108447551727295,1777160,1884,6347,0.06903868913650513
-0.01798211969435215,0.9725867807865143,0.11126890778541565,1777440,1884,6348,0.07874669879674911
-0.02767280489206314,0.9618346057832241,0.13999266922473907,1777720,1884,6349,0.06537782400846481
-0.03663395717740059,0.9542300254106522,0.16440047323703766,1778000,1884,6350,0.08638683706521988
0.00042513530934229493,0.9576914459466934,0.14460225403308868,1778280,1884,6351,0.07219445705413818
-0.0210399366915226,0.9741928689181805,0.09342198818922043,1778560,1884,6352,0.07178273797035217
-0.005511905997991562,0.9689141064882278,0.10809142142534256,1778840,1884,6353,0.08987458050251007
-0.0045052324421703815,0.9541684910655022,0.16484801471233368,1779120,1884,6354,0.07760176062583923
-0.023972127586603165,0.9323054999113083,0.267058402299881,1779400,1884,6355,0.09579294919967651
-0.025452280417084694,0.9522749185562134,0.17485782504081726,1779680,1884,6356,0.07403425127267838
-0.010956360027194023,0.9511891081929207,0.1933596283197403,1779960,1884,6357,0.061895906925201416
0.008753325790166855,0.9635277129709721,0.14116661250591278,1780240,1884,6358,0.08589859306812286
-0.00025773915695026517,0.9197179228067398,0.31461086869239807,1780520,1884,6359,0.08572214841842651
-0.002039658837020397,0.9644512683153152,0.13705675303936005,1780800,1884,6360,0.08920560777187347
-0.0015408205799758434,0.9310946017503738,0.23803283274173737,1781080,1884,6361,0.08230486512184143
0.00146643933840096,0.9471513442695141,0.18717524409294128,1781360,1884,6362,0.09120138734579086
-0.0031703277491033077,0.958296149969101,0.15534314513206482,1781640,1884,6363,0.07600221782922745
-0.0009293595794588327,0.9661867022514343,0.13519302010536194,1781920,1884,6364,0.08307786285877228
-0.00449083186686039,0.9367019534111023,0.20969243347644806,1782200,1884,6365,0.09869199246168137
-0.013464736752212048,0.9652540497481823,0.11691392958164215,1782480,1884,6366,0.09406127780675888
-0.027006451040506363,0.933833435177803,0.2750142216682434,1782760,1884,6367,0.09560643136501312
-0.031028399243950844,0.9533494673669338,0.19711808860301971,1783040,1884,6368,0.07497852295637131
0.0022543086670339108,0.9409428387880325,0.1814069002866745,1783320,1884,6369,0.10531790554523468
0.00083144661039114,0.9513649642467499,0.20404665172100067,1783600,1884,6370,0.07849051803350449
