#{"t_start": 1514340648.9307256, "gym_version": "0.9.3", "env_id": "ddrp_options-v0"}
r,l,t
1.0,2,1.679587
0,1,1.684129
0,2,1.695111
1.0,2,1.703713
0,1,1.708094
1.0,2,1.717252
0,2,1.725996
0,2,1.737453
1.0,2,1.744953
2.0,3,1.7589
0,2,2.003317
0,2,2.012419
1.0,2,2.022863
0,2,2.03528
0,1,2.039192
1.0,2,2.049221
0,2,2.056866
0,2,2.066026
0,2,2.073676
0,1,2.077962
2.0,3,2.092067
1.0,2,2.168619
0,2,2.177044
0,1,2.181951
1.0,2,2.190481
0,2,2.198691
0,1,2.203139
0,1,2.207668
0,1,2.213976
0,2,2.222153
1.0,2,2.231278
1.0,2,2.239791
0,1,2.244607
1.0,2,2.31723
0,2,2.32485
0,1,2.329421
0,1,2.336042
1.0,2,2.346652
2.0,3,2.360271
1.0,2,2.36913
1.0,2,2.377489
2.0,3,2.391947
0,2,2.400319
1.0,2,2.475536
0,2,2.48453
1.0,2,2.492153
1.0,2,2.500193
0,2,2.509224
0,2,2.518061
0,1,2.522283
0,1,2.526277
0,2,2.534547
0,2,2.543225
1.0,2,2.555552
1.0,2,2.626473
1.0,2,2.634761
0,2,2.643157
1.0,2,2.651151
0,2,2.662127
1.0,2,2.670584
0,2,2.6824
0,2,2.691239
1.0,2,2.701327
0,1,2.706066
1.0,2,2.715368
0,1,2.790394
0,2,2.797
1.0,2,2.806907
1.0,2,2.815878
1.0,2,2.825727
0,1,2.82986
0,2,2.83728
1.0,2,2.845171
0,1,2.850831
1.0,2,2.860278
1.0,2,2.868932
0,2,2.941735
0,2,2.956155
0,1,2.96418
0,1,2.969512
1.0,2,2.97953
1.0,2,2.989668
0,2,3.000092
2.0,3,3.012402
1.0,2,3.021432
0,1,3.028471
0,2,3.038035
0,2,3.11183
1.0,2,3.120716
0,1,3.125501
0,2,3.135941
1.0,2,3.14329
0,1,3.147779
0,2,3.15776
0,1,3.162349
0,2,3.170901
0,2,3.181518
1.0,2,3.190238
2.0,3,3.272141
1.0,2,3.283978
0,1,3.288021
1.0,2,3.297946
1.0,2,3.306836
2.0,3,3.321489
1.0,2,3.331166
0,2,3.339731
1.0,2,3.351281
1.0,2,3.360867
0,2,3.444278
0,2,3.455791
0,2,3.46663
0,1,3.471207
1.0,2,3.480697
1.0,2,3.495175
0,2,3.507125
0,1,3.510927
1.0,2,3.521193
0,2,3.52997
1.0,2,3.538247
1.0,2,3.615407
0,2,3.624049
1.0,2,3.631059
0,1,3.636047
1.0,2,3.643178
0,2,3.651688
0,2,3.662225
0,1,3.669168
0,2,3.681329
0,1,3.685787
0,2,3.696056
0,2,3.704334
0,2,3.78915
0,1,3.793047
0,2,3.801407
0,2,3.809358
2.0,3,3.821186
0,2,3.828375
0,1,3.832829
1.0,2,3.841857
0,2,3.850884
1.0,2,3.864195
0,1,3.869766
1.0,2,3.959173
0,2,3.968871
0,1,3.972686
0,1,3.976985
1.0,2,3.987297
0,2,3.998414
1.0,2,4.005108
0,1,4.009981
0,2,4.018329
0,1,4.021961
0,2,4.031093
0,2,4.038509
1.0,2,4.120327
1.0,2,4.129082
2.0,3,4.144482
0,1,4.147622
0,2,4.157715
1.0,2,4.168409
1.0,2,4.177969
2.0,3,4.192266
1.0,2,4.202988
0,2,4.282969
1.0,2,4.291434
0,2,4.302423
0,1,4.307844
0,2,4.319166
0,1,4.323139
2.0,3,4.337337
1.0,2,4.345139
0,1,4.352533
0,2,4.361548
1.0,2,4.370025
0,2,4.443529
0,2,4.450814
2.0,3,4.463248
0,2,4.473452
0,1,4.477492
0,1,4.481665
0,2,4.491797
2.0,3,4.501688
0,1,4.505215
1.0,2,4.513746
0,1,4.518541
0,2,4.613721
0,1,4.617724
0,2,4.625792
1.0,2,4.636282
0,1,4.643129
1.0,2,4.653728
0,2,4.664936
1.0,2,4.674267
0,1,4.678527
0,1,4.682415
0,2,4.690564
0,1,4.69368
0,1,4.697966
0,2,4.77655
0,2,4.787647
0,2,4.79901
0,2,4.807654
0,2,4.816506
0,2,4.826023
0,2,4.835182
0,1,4.839313
1.0,2,4.850349
0,2,4.858299
0,2,4.866387
0,2,4.943052
2.0,3,4.958616
0,1,4.966649
0,2,4.975563
1.0,2,4.985683
1.0,2,4.994932
0,2,5.004397
0,1,5.010461
0,1,5.013653
0,2,5.023625
1.0,2,5.031816
1.0,2,5.113354
1.0,2,5.120128
0,2,5.129015
1.0,2,5.135594
1.0,2,5.143918
0,2,5.153017
0,2,5.168129
1.0,2,5.176722
0,2,5.18682
0,1,5.192353
0,1,5.198237
1.0,2,5.284135
0,2,5.293706
