#{"t_start": 1514340648.8891916, "gym_version": "0.9.3", "env_id": "ddrp_options-v0"}
r,l,t
0,2,1.71659
0,2,1.728572
0,2,1.740217
0,2,1.748879
1.0,2,1.758257
0,2,1.766675
1.0,2,1.776422
1.0,2,1.785205
1.0,2,1.794493
0,2,1.804173
0,1,2.044252
1.0,2,2.052104
1.0,2,2.063495
0,2,2.073802
0,2,2.086074
0,1,2.090348
1.0,2,2.098013
0,1,2.102597
1.0,2,2.111288
0,1,2.114458
0,2,2.123439
0,1,2.128662
0,2,2.204444
1.0,2,2.212748
1.0,2,2.222028
1.0,2,2.231438
1.0,2,2.2398
1.0,2,2.248627
0,1,2.253381
0,1,2.258353
0,2,2.266733
0,2,2.27634
0,2,2.285785
0,1,2.289967
0,2,2.361267
0,2,2.370121
0,2,2.381189
0,1,2.386622
1.0,2,2.395926
0,2,2.404956
0,1,2.409206
0,1,2.414058
0,2,2.422225
0,2,2.431991
1.0,2,2.440777
1.0,2,2.516119
0,1,2.520344
0,2,2.529077
1.0,2,2.536701
0,2,2.544824
1.0,2,2.554895
0,2,2.562692
0,2,2.5717
0,2,2.580244
0,2,2.588927
1.0,2,2.599961
1.0,2,2.670899
0,1,2.674984
0,2,2.683265
0,2,2.692009
2.0,3,2.706722
0,2,2.718219
1.0,2,2.728158
0,2,2.737724
0,2,2.746849
1.0,2,2.756279
0,2,2.835268
1.0,2,2.842571
0,2,2.852023
0,1,2.856573
0,1,2.860628
0,2,2.870937
1.0,2,2.878377
1.0,2,2.886445
0,1,2.890961
0,1,2.895916
0,1,2.900274
1.0,2,2.90911
0,2,2.981918
0,1,2.987039
1.0,2,3.003015
1.0,2,3.014555
0,2,3.0247
0,2,3.034944
0,2,3.044479
0,1,3.049012
0,2,3.058354
0,2,3.068124
0,1,3.074768
1.0,2,3.084587
0,2,3.158323
0,1,3.161756
0,1,3.166453
0,1,3.171014
0,2,3.180124
0,2,3.18872
2.0,3,3.203263
0,2,3.21177
0,1,3.21762
0,1,3.222389
0,2,3.231241
1.0,2,3.240683
1.0,2,3.317404
0,1,3.323058
0,2,3.333222
0,2,3.342261
1.0,2,3.351167
1.0,2,3.360911
1.0,2,3.37066
1.0,2,3.380371
1.0,2,3.391181
0,1,3.396857
1.0,2,3.407126
0,2,3.490608
0,2,3.502316
0,2,3.511322
0,2,3.521761
1.0,2,3.536119
1.0,2,3.547191
1.0,2,3.559206
0,2,3.566363
0,1,3.571017
1.0,2,3.579263
2.0,3,3.660261
0,1,3.664163
0,2,3.670938
0,2,3.680208
1.0,2,3.68787
1.0,2,3.696184
0,1,3.703026
0,2,3.714739
0,2,3.725756
0,2,3.7363
0,1,3.741008
1.0,2,3.826298
1.0,2,3.834218
1.0,2,3.842262
0,2,3.850406
0,1,3.854288
0,2,3.862426
0,2,3.869335
1.0,2,3.878484
1.0,2,3.886667
1.0,2,3.897473
1.0,2,3.91076
0,2,4.000266
1.0,2,4.009466
2.0,3,4.021723
2.0,3,4.037248
0,2,4.04617
0,2,4.055183
1.0,2,4.063044
1.0,2,4.072315
1.0,2,4.079886
0,1,4.157754
1.0,2,4.165523
0,1,4.170136
0,1,4.174277
0,1,4.179745
0,1,4.184596
1.0,2,4.194073
1.0,2,4.204427
0,1,4.207698
0,2,4.218303
0,2,4.227809
1.0,2,4.237665
1.0,2,4.247289
1.0,2,4.327988
0,1,4.332266
1.0,2,4.343426
0,1,4.348435
0,2,4.359149
0,1,4.36435
0,2,4.372321
0,1,4.376911
0,2,4.386068
0,2,4.396666
0,1,4.401056
0,1,4.405862
0,2,4.414594
0,2,4.487783
2.0,3,4.50019
0,1,4.504374
0,2,4.514544
2.0,3,4.526917
0,2,4.536049
1.0,2,4.542834
0,2,4.550424
0,2,4.559208
1.0,2,4.65499
0,1,4.658973
0,2,4.666858
1.0,2,4.677476
1.0,2,4.690424
0,2,4.699523
0,1,4.705167
0,2,4.714575
0,1,4.719273
0,2,4.727377
1.0,2,4.734472
0,1,4.738119
0,2,4.817333
1.0,2,4.827871
0,2,4.838637
0,2,4.848219
3.0,4,4.865943
2.0,3,4.880596
1.0,2,4.891573
0,1,4.895339
1.0,2,4.904495
0,2,4.979829
0,1,4.984248
0,1,4.988509
0,1,4.99419
0,2,5.006157
0,2,5.016707
0,2,5.026793
0,1,5.03112
0,2,5.040608
0,2,5.049776
0,2,5.059439
0,2,5.068586
0,2,5.150439
0,2,5.157922
0,2,5.164747
0,2,5.173038
0,2,5.181009
0,1,5.184883
0,1,5.190407
1.0,2,5.19956
0,1,5.20771
0,1,5.213223
2.0,3,5.228587
0,1,5.233315
0,2,5.319207
1.0,2,5.329644
1.0,2,5.339974
0,2,5.350524
0,2,5.359966
0,1,5.364639
0,2,5.373519
0,1,5.377584
0,1,5.381063
0,2,5.390378
0,2,5.404334
1.0,2,5.413785
0,2,5.499517
0,2,5.508741
0,2,5.52051
1.0,2,5.531215
3.0,4,5.54799
0,1,5.551943
0,1,5.555818
0,2,5.565429
1.0,2,5.572705
0,2,5.580591
0,1,5.648642
0,1,5.651654
0,2,5.661161
1.0,2,5.672608
0,1,5.677866
1.0,2,5.686976
0,2,5.695589
1.0,2,5.705841
0,2,5.713794
0,2,5.722476
0,1,5.729795
1.0,2,5.738719
0,2,5.814439
2.0,3,5.82495
1.0,2,5.834516
0,1,5.838629
2.0,3,5.858219
0,2,5.866996
0,2,5.876501
0,2,5.886343
0,1,5.89182
1.0,2,5.900942
2.0,3,5.985486
1.0,2,5.993413
1.0,2,6.003094
0,2,6.010985
1.0,2,6.019281
1.0,2,6.028321
0,2,6.038028
0,1,6.042001
0,2,6.049948
0,1,6.054515
1.0,2,6.136522
0,2,6.147404
0,2,6.157141
0,2,6.166269
0,2,6.176551
1.0,2,6.185246
1.0,2,6.193923
0,2,6.202265
0,1,6.206394
0,2,6.214408
0,2,6.223603
0,2,6.29798
0,2,6.306275
1.0,2,6.316388
0,2,6.325746
0,1,6.330491
1.0,2,6.33987
0,2,6.347967
1.0,2,6.355309
1.0,2,6.363422
0,1,6.368241
2.0,3,6.454819
0,1,6.460158
0,2,6.470477
1.0,2,6.479819
0,1,6.484137
0,1,6.489271
1.0,2,6.498449
1.0,2,6.506124
0,2,6.517621
1.0,2,6.52918
0,2,6.538392
0,1,6.5416
0,2,6.626877
0,2,6.636801
0,1,6.641272
0,2,6.650847
1.0,2,6.660742
0,1,6.665316
1.0,2,6.674879
1.0,2,6.684071
2.0,3,6.694345
1.0,2,6.702168
0,1,6.705942
0,2,6.803487
1.0,2,6.813446
1.0,2,6.822936
0,2,6.836893
0,1,6.842214
0,2,6.853121
0,1,6.858324
2.0,3,6.873112
0,2,6.88107
1.0,2,6.888103
1.0,2,6.895537
0,1,6.976672
0,2,6.984872
0,2,6.993683
0,2,7.003129
0,1,7.007023
0,2,7.016872
0,2,7.023973
1.0,2,7.032503
0,2,7.041762
1.0,2,7.049467
2.0,3,7.124843
1.0,2,7.133821
1.0,2,7.143026
1.0,2,7.150915
0,2,7.160229
0,2,7.168557
0,2,7.177534
0,1,7.18306
0,2,7.190883
1.0,2,7.199085
0,2,7.208107
0,1,7.285827
0,1,7.288679
1.0,2,7.295665
0,1,7.299702
1.0,2,7.307674
0,2,7.316015
0,2,7.323883
1.0,2,7.332547
0,1,7.33888
1.0,2,7.348306
0,2,7.357076
1.0,2,7.366997
0,1,7.439208
1.0,2,7.448769
1.0,2,7.457386
0,2,7.466067
0,2,7.475379
0,2,7.484605
0,1,7.487582
0,2,7.496707
2.0,3,7.513341
1.0,2,7.5221
1.0,2,7.59754
1.0,2,7.606323
0,2,7.616166
3.0,4,7.634499
0,2,7.643922
0,2,7.653731
2.0,3,7.666869
1.0,2,7.677285
0,2,7.685368
2.0,3,7.774763
0,2,7.782857
1.0,2,7.791121
0,2,7.797955
1.0,2,7.804861
1.0,2,7.815181
1.0,2,7.82632
2.0,3,7.838124
1.0,2,7.846144
1.0,2,7.927957
0,2,7.937701
0,2,7.948082
1.0,2,7.961366
1.0,2,7.971064
1.0,2,7.980144
2.0,3,7.996037
1.0,2,8.006448
1.0,2,8.016406
2.0,3,8.099014
0,2,8.10637
0,2,8.120761
1.0,2,8.131388
1.0,2,8.13831
0,2,8.146546
1.0,2,8.153978
2.0,3,8.166038
1.0,2,8.176094
1.0,2,8.261789
2.0,3,8.273126
0,2,8.281473
2.0,3,8.295476
1.0,2,8.304105
0,2,8.315944
0,2,8.325889
0,2,8.335039
0,2,8.34495
1.0,2,8.437452
3.0,4,8.457709
2.0,3,8.467898
1.0,2,8.475083
2.0,3,8.487311
0,2,8.497766
1.0,2,8.506536
0,2,8.52424
1.0,2,8.612054
1.0,2,8.618972
3.0,4,8.634915
0,2,8.643899
3.0,4,8.662035
3.0,4,8.678006
1.0,2,8.686242
0,2,8.756899
2.0,3,8.767373
1.0,2,8.77684
2.0,3,8.797294
0,2,8.808767
1.0,2,8.820024
0,2,8.828707
3.0,4,8.848555
1.0,2,8.938936
1.0,2,8.946941
0,2,8.955319
0,2,8.963672
1.0,2,8.974555
1.0,2,8.982508
0,2,8.992884
1.0,2,9.006783
0,2,9.01526
0,2,9.025053
0,2,9.113556
0,2,9.123333
4.0,5,9.145146
0,2,9.152489
1.0,2,9.160138
0,2,9.16901
0,2,9.176499
0,2,9.184454
6.0,7,9.287393
1.0,2,9.296517
0,2,9.305755
0,2,9.314332
0,2,9.322498
0,2,9.331428
1.0,2,9.340533
0,2,9.348341
2.0,3,9.426574
0,2,9.437898
0,2,9.449418
2.0,3,9.463429
1.0,2,9.472406
1.0,2,9.481071
1.0,2,9.491816
0,2,9.500725
0,2,9.514498
0,2,9.599976
1.0,2,9.607849
0,2,9.617778
1.0,2,9.626966
1.0,2,9.636621
2.0,3,9.647969
1.0,2,9.657045
1.0,2,9.665276
0,2,9.674323
2.0,3,9.752053
2.0,3,9.765169
0,2,9.771877
0,2,9.782266
0,2,9.791068
0,2,9.802346
3.0,4,9.82373
2.0,3,9.83414
0,2,9.918008
0,2,9.924725
0,2,9.93254
0,2,9.941738
0,2,9.947938
0,2,9.956917
0,2,9.969626
2.0,3,9.985879
3.0,4,10.00439
2.0,3,10.095246
1.0,2,10.103958
2.0,3,10.115871
4.0,5,10.141465
1.0,2,10.149432
0,2,10.160194
2.0,3,10.179403
1.0,2,10.268588
0,2,10.286624
2.0,3,10.301505
0,2,10.310181
0,2,10.318429
0,2,10.325347
4.0,5,10.343616
2.0,3,10.435849
2.0,3,10.451179
1.0,2,10.461199
0,2,10.469697
