#{"t_start": 1514340648.8988507, "gym_version": "0.9.3", "env_id": "ddrp_options-v0"}
r,l,t
0,1,1.701556
0,1,1.709003
1.0,2,1.719166
0,1,1.724723
1.0,2,1.735042
0,2,1.744637
0,1,1.750049
1.0,2,1.759058
0,2,1.766893
0,2,1.777955
0,2,1.78492
1.0,2,1.794653
0,1,2.035131
0,2,2.043941
1.0,2,2.054236
0,2,2.064425
0,1,2.070199
0,1,2.0767
1.0,2,2.085039
0,1,2.088517
1.0,2,2.096588
0,1,2.100528
0,1,2.105035
0,1,2.110184
0,2,2.119962
0,2,2.195838
0,2,2.203264
0,1,2.209532
1.0,2,2.21726
0,2,2.226422
2.0,3,2.239188
0,2,2.248858
0,1,2.252872
0,2,2.264021
1.0,2,2.271434
0,1,2.276279
0,2,2.348088
0,1,2.352739
0,1,2.355605
0,2,2.366517
0,1,2.374053
0,2,2.383593
0,1,2.386435
0,1,2.390544
0,1,2.395484
0,2,2.404592
1.0,2,2.412816
1.0,2,2.423402
1.0,2,2.431273
1.0,2,2.507381
0,1,2.510789
1.0,2,2.51961
0,2,2.527299
1.0,2,2.536351
0,1,2.541839
0,1,2.545728
1.0,2,2.554547
0,1,2.557758
0,2,2.565099
1.0,2,2.574863
2.0,3,2.591734
1.0,2,2.662457
0,1,2.665424
0,2,2.674163
0,2,2.682654
2.0,3,2.697892
0,2,2.708858
1.0,2,2.719668
1.0,2,2.728256
0,2,2.738301
1.0,2,2.746741
0,2,2.824934
1.0,2,2.834569
0,2,2.843784
1.0,2,2.85128
0,2,2.861508
0,2,2.868886
1.0,2,2.877969
1.0,2,2.886646
0,1,2.891026
0,2,2.899626
0,2,2.972641
0,1,2.97903
0,2,2.993943
0,1,2.999938
0,2,3.010151
0,2,3.021251
0,2,3.031764
0,1,3.034979
1.0,2,3.044249
0,1,3.047908
0,1,3.053051
0,2,3.06538
0,1,3.069211
1.0,2,3.143436
0,2,3.153504
1.0,2,3.162423
0,2,3.170628
1.0,2,3.180438
0,2,3.190614
0,2,3.198748
1.0,2,3.208228
1.0,2,3.217892
0,1,3.221861
1.0,2,3.231222
1.0,2,3.308252
1.0,2,3.318811
0,1,3.323752
1.0,2,3.332793
1.0,2,3.34163
0,2,3.351409
1.0,2,3.36127
1.0,2,3.370935
1.0,2,3.381659
0,1,3.387449
0,2,3.397742
1.0,2,3.481097
1.0,2,3.492846
0,2,3.501844
1.0,2,3.512144
0,2,3.529071
1.0,2,3.53923
0,2,3.548141
1.0,2,3.558339
0,2,3.565834
0,2,3.574536
0,2,3.650647
0,1,3.65463
