#{"t_start": 1514340648.9171453, "gym_version": "0.9.3", "env_id": "ddrp_options-v0"}
r,l,t
1.0,2,1.690985
0,2,1.702352
0,1,1.708383
0,1,1.712835
1.0,2,1.72142
0,1,1.726365
0,2,1.735678
0,1,1.739008
0,2,1.748628
0,2,1.757426
0,2,1.766727
1.0,2,1.776477
1.0,2,2.020434
0,1,2.024372
0,2,2.036287
0,1,2.04088
1.0,2,2.051985
1.0,2,2.062732
0,2,2.070338
0,1,2.07486
0,1,2.078394
0,1,2.082335
2.0,3,2.095758
1.0,2,2.104922
1.0,2,2.181026
0,2,2.190315
0,2,2.199007
0,1,2.202945
0,2,2.21216
0,2,2.221065
0,2,2.230654
0,2,2.239098
0,1,2.244684
0,2,2.253173
0,2,2.262402
0,1,2.329751
0,2,2.337407
0,2,2.348567
0,1,2.353559
0,1,2.358891
1.0,2,2.369251
0,2,2.378341
0,1,2.381681
0,2,2.391045
0,1,2.395682
0,2,2.405265
1.0,2,2.413236
0,2,2.488519
0,2,2.496812
0,1,2.501395
2.0,3,2.513594
0,1,2.51728
0,2,2.527223
1.0,2,2.535103
0,1,2.540747
0,1,2.544003
0,2,2.552655
2.0,3,2.567704
3.0,4,2.647283
0,1,2.651544
0,1,2.655684
0,2,2.664535
3.0,4,2.683982
1.0,2,2.695786
0,2,2.70466
0,1,2.710087
1.0,2,2.719444
1.0,2,2.728625
0,2,2.807462
0,1,2.810424
1.0,2,2.82009
1.0,2,2.82924
0,2,2.839082
0,1,2.843235
1.0,2,2.850746
0,1,2.854715
0,2,2.863346
1.0,2,2.872728
1.0,2,2.881469
0,2,2.954356
1.0,2,2.96929
0,1,2.976013
0,1,2.981776
0,2,2.992093
0,2,3.003163
0,1,3.008644
1.0,2,3.016908
2.0,3,3.029721
0,2,3.041773
0,1,3.047285
0,1,3.051357
0,2,3.12536
0,2,3.134137
0,1,3.138877
0,2,3.148347
0,2,3.156715
0,1,3.161101
0,2,3.171164
0,1,3.17582
0,2,3.184141
1.0,2,3.194862
1.0,2,3.203676
0,2,3.213153
1.0,2,3.290379
0,1,3.296066
0,1,3.3006
0,1,3.305607
0,1,3.310398
0,2,3.319916
0,2,3.328244
0,2,3.338187
1.0,2,3.348016
0,1,3.352842
0,2,3.364782
1.0,2,3.37432
0,2,3.457356
1.0,2,3.468428
1.0,2,3.479912
0,1,3.484667
1.0,2,3.498
0,1,3.503798
1.0,2,3.515518
0,1,3.521292
0,2,3.531044
0,1,3.534676
0,2,3.543423
1.0,2,3.551683
1.0,2,3.628855
0,1,3.633411
0,1,3.636453
1.0,2,3.643279
0,2,3.653672
0,2,3.660236
1.0,2,3.668858
0,1,3.672955
2.0,3,3.692443
0,1,3.699569
0,1,3.702899
1.0,2,3.713433
0,2,3.799055
0,1,3.802723
0,1,3.80662
0,2,3.814851
1.0,2,3.822779
0,2,3.830902
1.0,2,3.838699
0,2,3.846389
0,2,3.855309
1.0,2,3.864901
2.0,3,3.883147
0,2,3.97391
1.0,2,3.982587
