#{"t_start": 1514340648.9164088, "gym_version": "0.9.3", "env_id": "ddrp_options-v0"}
r,l,t
1.0,2,1.692327
0,1,1.698265
1.0,2,1.707568
0,2,1.717633
0,2,1.72729
0,1,1.731302
1.0,2,1.740833
1.0,2,1.750539
0,2,1.759237
0,1,1.763593
0,2,1.772767
0,1,1.778354
0,2,2.021194
0,1,2.02513
0,1,2.031959
0,2,2.041767
0,1,2.048299
0,1,2.053903
0,2,2.06339
0,2,2.07203
0,2,2.079103
0,2,2.087594
0,2,2.098469
1.0,2,2.106481
2.0,3,2.185831
1.0,2,2.195125
1.0,2,2.203705
1.0,2,2.212933
0,2,2.222013
2.0,3,2.235436
0,1,2.241426
0,1,2.24541
0,2,2.253926
0,1,2.258863
1.0,2,2.33061
1.0,2,2.338121
0,2,2.349155
1.0,2,2.360483
0,2,2.369937
0,2,2.37899
0,2,2.387197
1.0,2,2.395557
0,1,2.400715
1.0,2,2.410636
1.0,2,2.418795
1.0,2,2.494368
1.0,2,2.502416
0,1,2.506161
0,1,2.510854
0,1,2.514258
1.0,2,2.522397
0,1,2.528999
0,1,2.532094
1.0,2,2.540392
0,2,2.547636
0,1,2.553396
0,1,2.558511
1.0,2,2.568439
0,1,2.572934
0,1,2.640767
0,1,2.643955
0,2,2.652248
0,1,2.656354
1.0,2,2.666394
0,2,2.674974
1.0,2,2.684729
1.0,2,2.697429
1.0,2,2.706468
0,2,2.714399
0,1,2.720016
0,1,2.724422
2.0,3,2.808076
0,1,2.812946
0,2,2.820386
2.0,3,2.834456
0,1,2.839718
0,1,2.84431
0,2,2.852422
0,2,2.86062
0,2,2.869061
0,2,2.878796
1.0,2,2.887761
0,2,2.96038
0,2,2.97729
1.0,2,2.98853
1.0,2,2.998943
1.0,2,3.009337
0,1,3.014135
1.0,2,3.022258
1.0,2,3.031408
0,2,3.043577
1.0,2,3.052088
1.0,2,3.127139
0,1,3.131226
0,2,3.140475
0,2,3.14983
1.0,2,3.158457
1.0,2,3.16761
0,2,3.177338
1.0,2,3.186132
0,2,3.195656
1.0,2,3.20464
0,1,3.209659
0,2,3.285768
0,2,3.297218
0,1,3.30249
0,1,3.307557
0,2,3.315337
1.0,2,3.324391
1.0,2,3.334041
1.0,2,3.345352
1.0,2,3.354574
0,2,3.365489
0,1,3.37128
0,1,3.375262
0,2,3.458483
1.0,2,3.469151
0,2,3.480552
0,1,3.485349
0,2,3.495337
0,2,3.509644
1.0,2,3.520467
0,2,3.530775
0,2,3.539439
1.0,2,3.548432
0,2,3.557123
2.0,3,3.637327
1.0,2,3.64427
0,2,3.653409
0,1,3.657277
0,2,3.666153
1.0,2,3.673942
0,1,3.684591
0,1,3.689476
0,1,3.694379
0,2,3.705565
0,1,3.710169
0,2,3.718328
1.0,2,3.804176
0,2,3.812011
0,1,3.815544
0,2,3.824165
0,1,3.827361
0,1,3.831875
0,1,3.835406
0,2,3.84238
1.0,2,3.851554
0,2,3.859587
0,2,3.870084
0,2,3.883744
0,2,3.973318
1.0,2,3.982618
0,1,3.98819
0,1,3.991372
0,2,4.001207
0,1,4.006578
0,1,4.010508
0,1,4.015404
1.0,2,4.024189
1.0,2,4.032492
0,2,4.039349
2.0,3,4.052923
0,2,4.134535
0,2,4.14423
1.0,2,4.153907
0,1,4.157683
0,1,4.161882
1.0,2,4.17236
2.0,3,4.188169
0,2,4.197185
2.0,3,4.210723
0,1,4.217092
0,1,4.220363
0,1,4.297115
0,2,4.305953
0,2,4.317761
0,2,4.328635
1.0,2,4.33847
0,1,4.341252
0,2,4.352315
0,2,4.359255
0,2,4.371357
1.0,2,4.378986
0,2,4.387847
0,2,4.460721
0,1,4.465074
0,1,4.468366
1.0,2,4.478492
1.0,2,4.487572
2.0,3,4.499965
1.0,2,4.508933
0,2,4.515807
1.0,2,4.523401
0,1,4.52787
1.0,2,4.537062
2.0,3,4.635797
0,2,4.64713
0,2,4.657542
0,1,4.663328
0,2,4.673876
0,2,4.683615
0,2,4.692358
1.0,2,4.700528
0,2,4.708358
0,2,4.71627
0,1,4.790322
0,1,4.796601
0,1,4.800901
0,2,4.811629
0,1,4.816097
1.0,2,4.825567
0,2,4.836069
2.0,3,4.850226
1.0,2,4.860435
0,2,4.869577
0,2,4.877181
1.0,2,4.953017
0,1,4.958373
0,1,4.961442
0,2,4.974443
1.0,2,4.985302
2.0,3,4.999824
0,2,5.00905
1.0,2,5.018768
1.0,2,5.0279
0,2,5.037368
1.0,2,5.046187
0,1,5.12295
1.0,2,5.131141
1.0,2,5.137904
2.0,3,5.149776
0,2,5.160322
0,2,5.167248
0,1,5.172376
0,1,5.180789
0,2,5.190871
0,1,5.197174
1.0,2,5.207895
0,2,5.294243
0,2,5.303412
0,2,5.313145
0,2,5.323455
0,2,5.332977
1.0,2,5.343515
1.0,2,5.350566
1.0,2,5.358029
0,2,5.372344
0,1,5.37838
0,1,5.382559
0,2,5.468335
0,2,5.476734
1.0,2,5.488896
0,1,5.494397
0,1,5.499877
1.0,2,5.508766
1.0,2,5.516738
0,2,5.525144
1.0,2,5.533585
1.0,2,5.542568
0,2,5.549853
0,2,5.621699
0,2,5.629241
0,2,5.639953
0,1,5.647439
2.0,3,5.661619
1.0,2,5.669467
0,2,5.677688
1.0,2,5.688045
0,1,5.691647
0,1,5.696273
0,1,5.703566
0,2,5.711867
0,1,5.78301
0,1,5.787369
1.0,2,5.793636
0,2,5.803153
0,2,5.811599
0,2,5.828306
3.0,4,5.846282
0,1,5.851974
1.0,2,5.861912
0,2,5.870815
1.0,2,5.950763
0,2,5.959232
1.0,2,5.966625
0,1,5.971292
0,1,5.976167
1.0,2,5.984097
1.0,2,5.992384
0,2,6.001512
0,2,6.011045
0,2,6.019025
0,2,6.027717
1.0,2,6.111045
1.0,2,6.120317
1.0,2,6.130311
0,1,6.136013
0,1,6.140079
0,1,6.143797
1.0,2,6.153636
1.0,2,6.163596
1.0,2,6.171329
1.0,2,6.18011
0,1,6.183686
1.0,2,6.192643
0,2,6.264514
0,2,6.274804
1.0,2,6.284321
0,1,6.289487
0,2,6.2988
0,2,6.308286
0,2,6.317673
0,2,6.325063
0,2,6.33316
0,1,6.33739
1.0,2,6.345688
1.0,2,6.427978
0,2,6.438823
1.0,2,6.449167
1.0,2,6.457131
1.0,2,6.466346
0,2,6.474824
2.0,3,6.490675
0,2,6.502302
0,2,6.511199
0,2,6.519171
1.0,2,6.604743
1.0,2,6.615135
0,1,6.619779
1.0,2,6.62781
0,1,6.635054
1.0,2,6.644157
1.0,2,6.653157
1.0,2,6.660754
1.0,2,6.667453
1.0,2,6.675297
2.0,3,6.777987
0,2,6.785917
0,2,6.797863
0,1,6.805669
1.0,2,6.818349
1.0,2,6.826115
1.0,2,6.838486
1.0,2,6.846075
0,1,6.851367
1.0,2,6.856711
3.0,4,6.950349
0,2,6.958003
0,2,6.967705
1.0,2,6.976042
1.0,2,6.985938
1.0,2,6.99405
0,2,7.002525
1.0,2,7.010702
2.0,3,7.022551
1.0,2,7.031354
1.0,2,7.103139
1.0,2,7.112808
2.0,3,7.123933
0,1,7.129108
0,2,7.136791
0,2,7.146837
0,2,7.154612
1.0,2,7.164333
1.0,2,7.172363
1.0,2,7.182006
0,2,7.261795
0,2,7.268641
0,2,7.277147
0,2,7.285267
2.0,3,7.297832
0,2,7.30574
1.0,2,7.316315
1.0,2,7.325952
0,1,7.330178
2.0,3,7.412276
2.0,3,7.426835
0,1,7.430695
1.0,2,7.440166
0,2,7.448846
0,2,7.457706
1.0,2,7.465837
1.0,2,7.47575
0,2,7.487104
0,1,7.490106
0,2,7.498937
0,1,7.570606
1.0,2,7.57948
1.0,2,7.589164
0,2,7.599225
0,2,7.610068
0,2,7.616896
0,2,7.627869
1.0,2,7.635578
0,2,7.645182
2.0,3,7.658514
1.0,2,7.744244
0,2,7.752165
2.0,3,7.76428
2.0,3,7.77499
1.0,2,7.782766
1.0,2,7.794798
1.0,2,7.803767
1.0,2,7.812335
2.0,3,7.896585
1.0,2,7.906324
1.0,2,7.918189
1.0,2,7.929473
1.0,2,7.940901
0,2,7.948895
3.0,4,7.969129
0,1,7.974204
1.0,2,7.986187
1.0,2,7.995389
0,2,8.072884
1.0,2,8.079368
2.0,3,8.099654
2.0,3,8.111194
0,2,8.119512
0,2,8.127023
0,2,8.134933
0,1,8.140214
0,2,8.149084
1.0,2,8.235111
0,2,8.241963
2.0,3,8.254831
2.0,3,8.268296
1.0,2,8.276979
0,2,8.289025
3.0,4,8.308076
0,2,8.317789
2.0,3,8.41398
3.0,4,8.43376
0,2,8.440846
1.0,2,8.448044
4.0,5,8.470919
1.0,2,8.479823
0,2,8.499662
0,2,8.584815
0,2,8.591951
0,2,8.600585
0,2,8.608118
0,2,8.616883
0,2,8.627074
0,2,8.635098
1.0,2,8.642785
3.0,4,8.660475
2.0,3,8.733089
0,2,8.740489
1.0,2,8.751165
2.0,3,8.772017
1.0,2,8.783121
0,2,8.793014
3.0,4,8.812089
1.0,2,8.822674
1.0,2,8.911388
4.0,5,8.93396
0,2,8.941054
1.0,2,8.951173
1.0,2,8.959357
1.0,2,8.973317
1.0,2,8.985031
4.0,5,9.086976
3.0,4,9.104686
2.0,3,9.118456
3.0,4,9.133152
1.0,2,9.14237
1.0,2,9.151173
1.0,2,9.157571
0,2,9.164655
3.0,4,9.2558
1.0,2,9.266071
0,2,9.274203
0,2,9.283901
1.0,2,9.292013
1.0,2,9.300463
0,2,9.309275
0,2,9.318355
2.0,3,9.396065
1.0,2,9.404778
1.0,2,9.415595
1.0,2,9.427457
2.0,3,9.441613
3.0,4,9.459657
2.0,3,9.473936
0,2,9.487564
2.0,3,9.57777
2.0,3,9.591274
2.0,3,9.60399
0,2,9.613204
1.0,2,9.621343
3.0,4,9.638934
0,2,9.647463
1.0,2,9.655407
0,2,9.728508
1.0,2,9.736048
2.0,3,9.751312
3.0,4,9.769762
0,2,9.779979
0,2,9.791193
0,2,9.800518
