#{"t_start": 1514340648.8853054, "gym_version": "0.9.3", "env_id": "ddrp_options-v0"}
r,l,t
0,1,1.714888
0,2,1.728733
0,1,1.732407
1.0,2,1.744245
2.0,3,1.757701
0,2,1.767048
0,2,1.77567
0,2,1.785583
0,1,1.788978
1.0,2,1.79829
1.0,2,1.807959
0,2,2.052073
0,1,2.055889
0,2,2.066415
0,2,2.077686
0,2,2.089774
2.0,3,2.101839
0,2,2.109976
0,1,2.113887
0,2,2.122471
1.0,2,2.132519
0,1,2.136276
0,2,2.212554
0,2,2.221731
0,1,2.225808
1.0,2,2.234379
0,1,2.239652
0,2,2.247906
0,2,2.25715
0,2,2.266167
0,1,2.27059
0,2,2.280192
2.0,3,2.293823
1.0,2,2.365153
0,1,2.368991
0,1,2.373919
0,2,2.384984
1.0,2,2.39475
0,2,2.40393
0,2,2.413025
0,1,2.417886
0,2,2.426045
0,2,2.435791
0,1,2.440268
0,2,2.448614
0,1,2.519953
0,2,2.52815
0,1,2.532826
0,1,2.536955
0,1,2.54149
0,1,2.545025
1.0,2,2.553071
1.0,2,2.562883
0,2,2.571027
0,2,2.57849
0,2,2.588306
0,2,2.597469
0,2,2.67056
1.0,2,2.678846
1.0,2,2.687146
1.0,2,2.695885
1.0,2,2.705342
0,2,2.715515
0,2,2.726912
1.0,2,2.73612
0,2,2.745197
0,1,2.750684
0,1,2.755109
0,2,2.834633
0,1,2.838244
1.0,2,2.846381
0,1,2.850905
1.0,2,2.860418
0,2,2.869824
1.0,2,2.878684
1.0,2,2.886319
0,1,2.890204
0,1,2.894816
1.0,2,2.90415
0,2,2.912891
0,1,2.918412
0,2,2.99091
0,2,3.006834
0,2,3.018385
0,1,3.023329
1.0,2,3.034519
0,2,3.044832
0,2,3.052829
0,2,3.061133
1.0,2,3.071807
0,2,3.082515
0,1,3.088386
0,1,3.156676
1.0,2,3.165627
0,1,3.170265
0,1,3.174891
1.0,2,3.183959
1.0,2,3.192524
0,2,3.202566
0,1,3.207015
0,2,3.215608
1.0,2,3.226181
1.0,2,3.235108
1.0,2,3.2445
0,2,3.321239
0,1,3.326895
0,1,3.3319
1.0,2,3.34178
1.0,2,3.350768
0,2,3.359586
2.0,3,3.374296
1.0,2,3.384139
0,2,3.396418
0,2,3.405835
0,2,3.488745
0,2,3.499859
0,2,3.510089
0,1,3.515172
0,1,3.520666
0,1,3.525465
0,2,3.539699
0,2,3.551005
1.0,2,3.56144
1.0,2,3.570221
0,2,3.579172
1.0,2,3.587922
1.0,2,3.664087
1.0,2,3.671925
0,1,3.674787
0,2,3.684044
0,2,3.691685
0,2,3.700031
0,2,3.713096
0,1,3.718558
0,1,3.723781
0,1,3.729563
0,2,3.739934
2.0,3,3.830252
0,1,3.834128
1.0,2,3.842741
0,2,3.85052
0,2,3.858117
1.0,2,3.866246
1.0,2,3.873224
2.0,3,3.886935
0,2,3.895837
1.0,2,3.910401
0,2,4.000297
1.0,2,4.010024
0,2,4.017098
1.0,2,4.025589
0,1,4.031736
0,1,4.035589
0,1,4.04106
0,2,4.04996
0,2,4.058996
0,1,4.063172
1.0,2,4.070029
0,2,4.079677
1.0,2,4.161664
1.0,2,4.169364
0,2,4.17813
0,1,4.183627
1.0,2,4.192474
1.0,2,4.201546
0,1,4.208261
1.0,2,4.218556
0,1,4.222131
0,2,4.231643
1.0,2,4.2415
0,1,4.246768
0,2,4.327837
0,2,4.336124
0,2,4.34614
1.0,2,4.358836
0,1,4.363129
1.0,2,4.372158
0,1,4.376155
1.0,2,4.386292
0,2,4.395033
0,2,4.404901
0,2,4.414274
0,2,4.488666
0,1,4.491616
0,1,4.495897
0,2,4.504113
0,2,4.513759
2.0,3,4.526732
1.0,2,4.536782
1.0,2,4.543355
0,2,4.550268
0,2,4.558738
0,1,4.563088
1.0,2,4.658812
1.0,2,4.666569
0,1,4.670715
0,1,4.675462
0,1,4.681172
0,1,4.688175
0,1,4.694125
0,2,4.703329
0,2,4.714163
0,1,4.718418
1.0,2,4.727416
0,2,4.7349
1.0,2,4.742007
0,1,4.747048
1.0,2,4.827068
1.0,2,4.837226
1.0,2,4.847005
1.0,2,4.856357
0,1,4.860624
0,1,4.865816
0,1,4.869774
0,1,4.874983
0,2,4.884424
0,1,4.890445
0,2,4.899274
0,2,4.907219
2.0,3,4.988081
0,2,4.998055
0,2,5.00989
1.0,2,5.020577
1.0,2,5.030673
0,1,5.034989
0,2,5.044473
1.0,2,5.05497
2.0,3,5.067987
1.0,2,5.076248
0,1,5.153782
0,1,5.15747
0,1,5.161733
0,2,5.168628
