#{"t_start": 1514340648.9283006, "gym_version": "0.9.3", "env_id": "ddrp_options-v0"}
r,l,t
1.0,2,1.679964
0,2,1.691242
1.0,2,1.701818
0,1,1.705883
1.0,2,1.715342
1.0,2,1.72464
0,2,1.732808
1.0,2,1.742973
1.0,2,1.751796
1.0,2,1.761072
0,1,1.7654
0,2,2.009347
0,2,2.019034
0,2,2.029915
0,2,2.040972
0,2,2.051615
0,1,2.055722
0,1,2.059199
1.0,2,2.067325
2.0,3,2.07982
1.0,2,2.090125
1.0,2,2.165886
0,2,2.174039
0,2,2.183379
0,2,2.191846
1.0,2,2.201095
0,1,2.205512
0,2,2.214726
0,2,2.223694
0,2,2.23366
1.0,2,2.242176
0,1,2.246945
1.0,2,2.318635
1.0,2,2.326267
0,1,2.332032
1.0,2,2.342454
0,1,2.348661
1.0,2,2.35818
0,1,2.362617
1.0,2,2.370638
1.0,2,2.379939
0,2,2.389066
0,1,2.394263
0,1,2.398448
0,1,2.402251
0,2,2.477708
1.0,2,2.48565
0,2,2.494551
0,1,2.498147
0,1,2.502461
1.0,2,2.510553
0,1,2.51612
0,1,2.520463
0,1,2.524818
0,1,2.528577
0,2,2.535878
0,2,2.545644
1.0,2,2.556669
0,1,2.561171
1.0,2,2.632307
0,2,2.641509
0,2,2.649268
1.0,2,2.659183
0,2,2.668959
1.0,2,2.679792
0,1,2.684737
1.0,2,2.695673
0,1,2.699009
0,1,2.702556
2.0,3,2.717688
2.0,3,2.799367
0,1,2.803762
0,2,2.814688
1.0,2,2.822689
1.0,2,2.832191
0,1,2.83603
1.0,2,2.844089
0,1,2.847753
0,2,2.857367
0,1,2.861615
0,1,2.867062
1.0,2,2.875912
0,1,2.943162
0,1,2.948179
0,1,2.958192
0,2,2.970712
1.0,2,2.981071
1.0,2,2.99203
0,2,3.002439
1.0,2,3.010505
1.0,2,3.018655
0,2,3.03074
0,1,3.036215
1.0,2,3.045852
1.0,2,3.119619
0,1,3.123049
0,2,3.132408
1.0,2,3.141392
0,2,3.150106
0,1,3.155701
0,2,3.16479
1.0,2,3.17327
0,1,3.180093
0,1,3.185156
0,2,3.193724
0,2,3.202909
1.0,2,3.27993
0,1,3.285125
0,2,3.295726
0,2,3.304506
1.0,2,3.312587
0,1,3.319021
1.0,2,3.327301
0,2,3.337641
1.0,2,3.346596
0,2,3.358456
0,1,3.363333
0,1,3.368633
0,1,3.446965
0,2,3.457467
1.0,2,3.469251
0,2,3.478163
0,1,3.484394
1.0,2,3.498723
0,2,3.509091
1.0,2,3.519412
0,1,3.524265
0,2,3.532347
1.0,2,3.54059
1.0,2,3.617967
0,1,3.621308
0,1,3.62645
0,2,3.633469
0,2,3.641563
0,2,3.649172
0,2,3.658846
0,2,3.672497
0,1,3.677414
0,2,3.686977
0,2,3.697464
0,2,3.707607
0,2,3.791514
1.0,2,3.799521
0,2,3.808348
1.0,2,3.815609
0,2,3.824362
0,2,3.830595
0,1,3.835078
0,2,3.844198
0,1,3.848415
1.0,2,3.858123
0,2,3.872082
1.0,2,3.961627
0,1,3.966391
0,1,3.970835
0,1,3.976404
0,2,3.9848
1.0,2,3.995467
1.0,2,4.003853
2.0,3,4.016566
0,1,4.020627
1.0,2,4.027569
1.0,2,4.037026
0,1,4.040921
0,2,4.122873
0,2,4.131384
1.0,2,4.142883
1.0,2,4.150097
0,2,4.160397
1.0,2,4.171825
0,2,4.179793
1.0,2,4.189127
0,2,4.198967
0,2,4.208899
0,2,4.290231
1.0,2,4.300318
1.0,2,4.310185
0,1,4.316948
0,1,4.322502
0,2,4.330271
0,2,4.338291
0,2,4.347485
0,1,4.352527
0,1,4.35789
0,1,4.363478
1.0,2,4.371581
0,1,4.375754
1.0,2,4.44956
1.0,2,4.457793
1.0,2,4.467921
0,2,4.476919
0,1,4.479825
0,1,4.483968
0,1,4.489266
0,1,4.494155
0,2,4.500639
0,1,4.504364
0,2,4.512414
1.0,2,4.520783
1.0,2,4.617358
0,1,4.620143
1.0,2,4.629112
0,2,4.640508
0,2,4.651583
0,2,4.66126
0,2,4.671493
0,1,4.67575
0,1,4.680756
0,1,4.684857
0,1,4.688771
0,1,4.692325
1.0,2,4.699379
0,1,4.705597
2.0,3,4.789117
0,2,4.800414
0,2,4.809439
1.0,2,4.819895
0,1,4.823115
1.0,2,4.83242
0,1,4.838467
0,1,4.841722
0,1,4.848379
0,1,4.85375
0,2,4.861678
0,1,4.864574
1.0,2,4.941274
1.0,2,4.951392
0,2,4.960476
0,2,4.973534
0,1,4.978647
0,2,4.988878
0,1,4.993859
1.0,2,5.00193
0,1,5.006698
0,1,5.012839
0,1,5.016043
0,1,5.022253
0,2,5.02989
1.0,2,5.111376
1.0,2,5.119374
1.0,2,5.126808
2.0,3,5.138111
0,1,5.142204
1.0,2,5.15188
1.0,2,5.165186
0,1,5.170521
0,2,5.180432
1.0,2,5.188586
1.0,2,5.200178
2.0,3,5.290839
0,2,5.301293
0,2,5.312407
0,2,5.3211
0,1,5.325864
0,2,5.33501
1.0,2,5.343504
1.0,2,5.35305
1.0,2,5.365555
0,1,5.370781
0,2,5.457926
1.0,2,5.46506
0,2,5.477904
0,1,5.483459
0,1,5.489092
0,1,5.493832
1.0,2,5.500876
0,2,5.509397
1.0,2,5.517148
0,1,5.522711
0,1,5.52755
1.0,2,5.535102
0,1,5.53809
0,1,5.543047
0,2,5.612879
0,2,5.622555
0,2,5.634389
1.0,2,5.644726
1.0,2,5.653687
1.0,2,5.662214
1.0,2,5.670983
1.0,2,5.68064
2.0,3,5.696821
1.0,2,5.772473
0,1,5.775605
0,1,5.779034
1.0,2,5.786636
2.0,3,5.799789
0,1,5.810376
0,1,5.81528
1.0,2,5.825207
0,1,5.828544
0,1,5.833754
0,2,5.843552
0,2,5.853201
1.0,2,5.862085
0,2,5.942591
0,2,5.950503
0,2,5.960537
0,1,5.965099
1.0,2,5.972358
0,1,5.976944
0,2,5.984703
0,2,5.996227
0,1,5.999342
0,2,6.008428
2.0,3,6.022012
1.0,2,6.104356
1.0,2,6.11447
0,1,6.119012
0,1,6.123378
0,1,6.128336
1.0,2,6.138775
0,1,6.14327
1.0,2,6.152381
0,2,6.159413
1.0,2,6.167626
1.0,2,6.176366
0,1,6.181692
0,2,6.252436
1.0,2,6.26307
0,2,6.273337
0,1,6.277596
1.0,2,6.288429
0,1,6.292421
0,2,6.301815
0,2,6.310197
1.0,2,6.317718
1.0,2,6.325777
1.0,2,6.333957
0,2,6.41611
0,2,6.428154
1.0,2,6.438266
1.0,2,6.445371
0,2,6.454503
0,2,6.463048
1.0,2,6.471766
1.0,2,6.485676
0,1,6.490559
1.0,2,6.498746
0,2,6.507573
2.0,3,6.598198
1.0,2,6.607381
1.0,2,6.615963
0,2,6.627413
0,1,6.631698
0,2,6.641282
1.0,2,6.648303
0,2,6.655634
0,2,6.663571
1.0,2,6.671708
2.0,3,6.77429
1.0,2,6.788033
0,2,6.79782
0,2,6.811346
0,1,6.81431
1.0,2,6.826885
0,1,6.830314
1.0,2,6.838875
1.0,2,6.845028
1.0,2,6.852294
0,2,6.938698
1.0,2,6.946094
1.0,2,6.954923
0,2,6.964308
0,2,6.974195
1.0,2,6.982069
0,2,6.990715
0,1,6.994247
0,1,6.998833
0,2,7.007027
1.0,2,7.014852
0,1,7.018548
0,2,7.0904
1.0,2,7.100613
0,2,7.109063
1.0,2,7.117108
2.0,3,7.129821
0,2,7.13831
1.0,2,7.14799
0,2,7.1557
1.0,2,7.165519
0,2,7.247157
2.0,3,7.257757
0,2,7.26545
0,1,7.26983
1.0,2,7.277913
1.0,2,7.285996
0,1,7.29068
1.0,2,7.301072
0,1,7.304516
0,1,7.309715
0,2,7.31867
1.0,2,7.328298
0,2,7.404326
0,1,7.409708
1.0,2,7.418662
3.0,4,7.436038
1.0,2,7.444961
1.0,2,7.453986
0,1,7.457809
0,2,7.4679
0,1,7.4743
0,1,7.478413
0,1,7.483778
0,2,7.560065
1.0,2,7.5677
1.0,2,7.579115
0,2,7.586495
0,2,7.596407
0,2,7.607466
2.0,3,7.620301
2.0,3,7.63428
2.0,3,7.646759
0,2,7.731317
0,2,7.740058
1.0,2,7.748598
1.0,2,7.756326
2.0,3,7.767008
1.0,2,7.778336
1.0,2,7.788564
0,1,7.792052
0,2,7.799485
0,2,7.807906
1.0,2,7.889159
0,2,7.899678
0,2,7.910344
1.0,2,7.923644
2.0,3,7.9372
2.0,3,7.953474
0,1,7.957491
0,2,7.968454
1.0,2,7.978501
0,2,8.057662
2.0,3,8.068599
2.0,3,8.086861
0,2,8.095785
1.0,2,8.104499
3.0,4,8.118857
1.0,2,8.127297
1.0,2,8.138448
0,2,8.222167
0,2,8.230515
1.0,2,8.239678
2.0,3,8.249899
0,2,8.260484
2.0,3,8.278355
0,2,8.287169
