#{"t_start": 1514340648.9094906, "gym_version": "0.9.3", "env_id": "ddrp_options-v0"}
r,l,t
1.0,2,6.522714
0,2,6.608668
1.0,2,6.616929
1.0,2,6.627095
1.0,2,6.63662
2.0,3,6.650357
0,1,6.655682
0,1,6.659893
0,2,6.66686
0,2,6.674263
1.0,2,6.682099
1.0,2,6.690273
0,2,6.787899
1.0,2,6.798105
0,1,6.804743
0,2,6.817827
0,2,6.828967
2.0,3,6.84548
1.0,2,6.853056
1.0,2,6.860935
1.0,2,6.868034
0,1,6.870869
0,1,6.875424
0,1,6.95656
0,1,6.961054
1.0,2,6.969419
1.0,2,6.979109
2.0,3,6.992779
2.0,3,7.005843
2.0,3,7.01758
0,2,7.025362
0,2,7.033
0,1,7.037299
1.0,2,7.109067
0,2,7.119496
0,1,7.122864
2.0,3,7.13565
0,2,7.14569
0,2,7.152913
0,2,7.161625
0,2,7.171556
0,2,7.179222
0,1,7.184175
0,2,7.265772
2.0,3,7.275567
0,2,7.284004
0,2,7.292023
0,2,7.300044
0,2,7.308411
0,2,7.319897
1.0,2,7.329283
0,2,7.337233
1.0,2,7.346761
0,2,7.424836
0,2,7.432564
0,2,7.442444
0,2,7.44995
1.0,2,7.458746
1.0,2,7.46832
0,2,7.476724
2.0,3,7.492991
1.0,2,7.50209
0,2,7.57751
2.0,3,7.591132
1.0,2,7.601205
0,2,7.611171
1.0,2,7.620028
1.0,2,7.629762
0,2,7.638789
2.0,3,7.652079
1.0,2,7.661548
0,1,7.665324
1.0,2,7.751147
0,2,7.757945
0,2,7.767137
0,1,7.771062
0,2,7.777917
1.0,2,7.785668
1.0,2,7.796329
0,2,7.806525
0,2,7.814299
1.0,2,7.822023
0,1,7.825846
1.0,2,7.909086
2.0,3,7.923151
0,1,7.930009
0,2,7.941343
0,2,7.951191
0,2,7.960259
0,2,7.970865
0,2,7.981215
0,2,7.990906
2.0,3,8.075726
1.0,2,8.083341
1.0,2,8.096857
1.0,2,8.106563
2.0,3,8.118263
2.0,3,8.12938
2.0,3,8.142898
0,2,8.151478
0,2,8.160141
1.0,2,8.246024
1.0,2,8.253178
0,2,8.261398
1.0,2,8.26861
2.0,3,8.283834
1.0,2,8.296029
2.0,3,8.310247
0,2,8.31967
1.0,2,8.329295
3.0,4,8.431225
0,2,8.440701
0,2,8.447918
4.0,5,8.467106
2.0,3,8.481596
2.0,3,8.503931
0,2,8.591743
0,2,8.599664
4.0,5,8.618426
0,2,8.629964
2.0,3,8.641968
1.0,2,8.649697
2.0,3,8.66179
0,2,8.670382
0,2,8.739869
1.0,2,8.748049
1.0,2,8.758021
0,2,8.769144
0,2,8.783913
1.0,2,8.795285
2.0,3,8.808764
1.0,2,8.821218
0,2,8.829796
0,2,8.918634
0,2,8.927182
0,2,8.935291
2.0,3,8.947979
0,2,8.958079
0,2,8.966225
1.0,2,8.979215
0,2,8.99117
0,2,8.999891
1.0,2,9.011081
0,2,9.097964
1.0,2,9.107595
1.0,2,9.117025
0,2,9.126141
0,2,9.132932
2.0,3,9.144569
1.0,2,9.152369
1.0,2,9.161247
1.0,2,9.168232
2.0,3,9.255249
2.0,3,9.267474
0,2,9.276524
1.0,2,9.285928
0,2,9.294276
0,2,9.303413
1.0,2,9.311485
1.0,2,9.322144
0,2,9.328339
0,2,9.403034
0,2,9.411664
5.0,6,9.442266
1.0,2,9.454203
0,2,9.461011
2.0,3,9.476834
1.0,2,9.485337
0,2,9.498492
1.0,2,9.583587
1.0,2,9.593871
1.0,2,9.602563
1.0,2,9.610939
0,2,9.621138
2.0,3,9.633973
1.0,2,9.642195
1.0,2,9.650913
0,2,9.657613
2.0,3,9.735193
0,2,9.742867
0,2,9.75327
1.0,2,9.763446
1.0,2,9.771083
0,2,9.782434
1.0,2,9.793937
0,2,9.803415
1.0,2,9.810415
4.0,5,9.904811
0,2,9.912406
0,2,9.921752
0,2,9.927843
1.0,2,9.936829
4.0,5,9.967332
0,2,9.975091
2.0,3,10.067317
1.0,2,10.075345
1.0,2,10.085186
0,2,10.091724
2.0,3,10.103823
1.0,2,10.115691
0,2,10.126464
0,2,10.136731
0,2,10.147505
0,2,10.162083
0,2,10.252531
0,2,10.262937
1.0,2,10.275121
1.0,2,10.286236
1.0,2,10.294344
0,2,10.301171
1.0,2,10.309494
1.0,2,10.316792
1.0,2,10.323599
1.0,2,10.333517
2.0,3,10.425797
0,2,10.435651
0,2,10.444812
3.0,4,10.463142
1.0,2,10.469444
2.0,3,10.484868
3.0,4,10.501374
0,2,10.576682
0,2,10.586735
3.0,4,10.607912
0,2,10.618358
1.0,2,10.627932
1.0,2,10.637069
2.0,3,10.653303
1.0,2,10.662815
1.0,2,10.747692
2.0,3,10.762305
0,2,10.769789
2.0,3,10.781821
0,2,10.788795
0,2,10.804327
0,2,10.813339
3.0,4,10.831874
1.0,2,10.919618
1.0,2,10.929044
0,2,10.939377
2.0,3,10.957138
1.0,2,10.967317
0,2,10.979305
1.0,2,10.987441
1.0,2,10.995516
1.0,2,11.008391
0,2,11.017735
0,2,11.103316
1.0,2,11.110142
0,2,11.117939
3.0,4,11.134036
2.0,3,11.146843
0,2,11.155498
0,2,11.163776
0,2,11.169799
0,2,11.256513
3.0,4,11.2746
1.0,2,11.281698
1.0,2,11.29094
0,2,11.301418
2.0,3,11.312296
0,2,11.320838
0,2,11.330999
0,2,11.340738
2.0,3,11.417732
1.0,2,11.425636
2.0,3,11.438162
1.0,2,11.446442
1.0,2,11.4531
1.0,2,11.462662
0,2,11.470526
2.0,3,11.482462
0,2,11.563123
5.0,6,11.586587
2.0,3,11.599306
0,2,11.606872
0,2,11.62351
2.0,3,11.637266
0,2,11.647716
1.0,2,11.737147
1.0,2,11.744683
3.0,4,11.760816
0,2,11.767677
2.0,3,11.780755
2.0,3,11.789778
0,2,11.797969
4.0,5,11.893458
1.0,2,11.90064
0,2,11.909861
0,2,11.916631
2.0,3,11.929662
3.0,4,11.946345
0,2,11.954541
1.0,2,11.96296
1.0,2,12.027541
0,2,12.039225
0,2,12.048559
0,2,12.056691
2.0,3,12.070804
1.0,2,12.079224
4.0,5,12.099714
0,2,12.107628
2.0,3,12.191195
3.0,4,12.204202
0,2,12.211894
2.0,3,12.228285
2.0,3,12.242492
2.0,3,12.259243
1.0,2,12.26777
0,2,12.352769
4.0,5,12.372373
1.0,2,12.379594
2.0,3,12.399639
3.0,4,12.41463
0,2,12.421687
1.0,2,12.428961
3.0,4,12.52082
1.0,2,12.529744
1.0,2,12.536966
2.0,3,12.550531
1.0,2,12.559219
0,2,12.567286
0,2,12.576473
1.0,2,12.584638
0,2,12.59167
1.0,2,12.665545
1.0,2,12.672357
1.0,2,12.682954
0,2,12.693187
3.0,4,12.713933
2.0,3,12.728837
1.0,2,12.737002
0,2,12.744239
2.0,3,12.835132
2.0,3,12.850798
1.0,2,12.856891
0,2,12.864279
0,2,12.875339
1.0,2,12.890097
0,2,12.898049
2.0,3,12.911753
2.0,3,13.000701
2.0,3,13.013749
1.0,2,13.022331
1.0,2,13.03044
0,2,13.037017
0,2,13.043687
2.0,3,13.053198
0,2,13.062091
1.0,2,13.075408
0,2,13.158295
0,2,13.164184
0,2,13.17205
0,2,13.179996
2.0,3,13.193566
0,2,13.202157
0,2,13.212239
0,2,13.220268
2.0,3,13.232564
2.0,3,13.310589
1.0,2,13.317225
1.0,2,13.32546
2.0,3,13.340273
1.0,2,13.350639
2.0,3,13.366659
2.0,3,13.380278
3.0,4,13.469704
1.0,2,13.476709
1.0,2,13.486953
0,2,13.493138
2.0,3,13.504106
0,2,13.514393
0,2,13.52381
2.0,3,13.537688
3.0,4,13.646877
0,2,13.655343
1.0,2,13.667677
1.0,2,13.681078
0,2,13.691695
0,2,13.701222
0,2,13.70873
1.0,2,13.717423
0,2,13.726117
3.0,4,13.831486
0,2,13.84078
1.0,2,13.849454
1.0,2,13.859441
0,2,13.872085
2.0,3,13.885357
0,2,13.892708
3.0,4,13.90865
2.0,3,14.005645
1.0,2,14.014538
1.0,2,14.024136
0,2,14.035147
0,2,14.040897
0,2,14.050209
2.0,3,14.063093
1.0,2,14.069852
0,2,14.078339
1.0,2,14.0851
0,2,14.156236
0,2,14.164116
1.0,2,14.169597
3.0,4,14.187379
0,2,14.196882
1.0,2,14.20482
0,2,14.223435
0,2,14.233078
2.0,3,14.32415
0,2,14.33172
0,2,14.342277
1.0,2,14.352088
0,2,14.359864
1.0,2,14.366766
3.0,4,14.382916
0,2,14.38957
1.0,2,14.396977
1.0,2,14.46844
0,2,14.474926
3.0,4,14.48863
1.0,2,14.498806
2.0,3,14.513189
0,2,14.521658
0,2,14.530933
3.0,4,14.553819
1.0,2,14.631514
2.0,3,14.643929
0,2,14.652669
1.0,2,14.663245
1.0,2,14.671208
1.0,2,14.678928
1.0,2,14.687263
0,2,14.694643
2.0,3,14.71368
0,2,14.798906
2.0,3,14.814583
0,2,14.823591
1.0,2,14.833222
1.0,2,14.841429
2.0,3,14.854973
0,2,14.863105
2.0,3,14.873477
2.0,3,14.946635
1.0,2,14.956913
2.0,3,14.972456
2.0,3,14.985688
0,2,14.996408
1.0,2,15.004914
1.0,2,15.012702
1.0,2,15.021683
2.0,3,15.112778
3.0,4,15.132833
0,2,15.140436
1.0,2,15.153248
0,2,15.162814
0,2,15.172733
0,2,15.184696
0,2,15.19244
2.0,3,15.203666
0,2,15.294316
2.0,3,15.306429
3.0,4,15.325255
3.0,4,15.34453
2.0,3,15.356841
2.0,3,15.368179
2.0,3,15.435089
1.0,2,15.443311
1.0,2,15.45526
0,2,15.466546
4.0,5,15.488681
3.0,4,15.509695
0,2,15.518506
0,2,15.602433
2.0,3,15.612711
3.0,4,15.6287
5.0,6,15.660359
0,2,15.667835
3.0,4,15.684657
1.0,2,15.769774
1.0,2,15.776056
1.0,2,15.784601
1.0,2,15.792933
2.0,3,15.803694
1.0,2,15.811269
2.0,3,15.826899
0,2,15.83628
0,2,15.849997
1.0,2,15.934376
0,2,15.943486
0,2,15.954746
1.0,2,15.961885
2.0,3,15.974829
0,2,15.982127
0,2,15.989654
1.0,2,15.99758
3.0,4,16.078961
0,2,16.085304
