#{"t_start": 1514340648.9043703, "gym_version": "0.9.3", "env_id": "ddrp_options-v0"}
r,l,t
0,1,1.696427
0,2,1.710244
1.0,2,1.719324
1.0,2,1.729568
0,1,1.735
1.0,2,1.744828
1.0,2,1.751788
0,1,1.758235
0,1,1.761371
0,2,1.770129
0,2,1.780776
1.0,2,1.791197
0,1,2.02927
1.0,2,2.037229
1.0,2,2.048657
0,1,2.055007
1.0,2,2.06713
0,2,2.075436
0,2,2.084268
0,1,2.087546
1.0,2,2.096352
0,1,2.099522
0,2,2.108489
0,2,2.119593
0,1,2.190716
0,2,2.199873
0,1,2.202943
1.0,2,2.211806
2.0,3,2.224848
0,2,2.233821
1.0,2,2.24334
1.0,2,2.252154
1.0,2,2.261372
2.0,3,2.275063
1.0,2,2.34619
0,2,2.355428
1.0,2,2.366167
0,1,2.371677
0,2,2.38183
0,2,2.390927
0,2,2.400041
0,2,2.407466
0,1,2.412613
0,2,2.421544
0,2,2.429827
0,2,2.50535
0,1,2.509334
1.0,2,2.518152
0,2,2.526284
1.0,2,2.534397
0,2,2.544106
1.0,2,2.552356
1.0,2,2.559602
0,1,2.56638
0,1,2.569322
1.0,2,2.5796
0,1,2.584931
0,2,2.655961
1.0,2,2.664369
1.0,2,2.673072
0,1,2.677166
1.0,2,2.687037
1.0,2,2.698252
0,2,2.708462
1.0,2,2.717374
1.0,2,2.726414
0,2,2.736473
1.0,2,2.816571
1.0,2,2.824248
0,2,2.833411
2.0,3,2.846942
1.0,2,2.8564
0,1,2.859764
0,2,2.868262
0,2,2.875983
1.0,2,2.886499
1.0,2,2.894075
0,1,2.899573
1.0,2,2.972141
0,1,2.981989
1.0,2,2.994703
3.0,4,3.016732
2.0,3,3.030819
0,2,3.037722
0,1,3.042341
0,1,3.049404
0,1,3.054418
0,1,3.059929
0,1,3.064905
0,1,3.072387
0,1,3.137939
0,1,3.143236
0,1,3.146749
1.0,2,3.156114
0,1,3.160984
0,2,3.169318
1.0,2,3.179307
0,2,3.188379
0,2,3.19895
0,1,3.202839
0,2,3.21251
1.0,2,3.2215
1.0,2,3.298071
0,2,3.309207
0,1,3.313224
1.0,2,3.323125
0,1,3.328038
0,2,3.336483
1.0,2,3.346917
1.0,2,3.355865
0,1,3.361851
0,2,3.371265
0,1,3.376398
0,2,3.388535
1.0,2,3.469995
1.0,2,3.483422
2.0,3,3.496382
1.0,2,3.507592
1.0,2,3.521125
0,2,3.532307
1.0,2,3.542801
0,1,3.547164
0,1,3.551456
1.0,2,3.560536
1.0,2,3.570494
0,1,3.64151
0,1,3.645127
1.0,2,3.653067
0,1,3.655963
1.0,2,3.665293
0,2,3.672887
0,2,3.681371
0,1,3.685578
2.0,3,3.705155
0,2,3.715618
0,2,3.726101
1.0,2,3.811588
1.0,2,3.819335
1.0,2,3.828347
1.0,2,3.836469
0,2,3.843783
0,1,3.847592
1.0,2,3.854636
0,2,3.865062
0,2,3.871498
2.0,3,3.890532
0,1,3.895725
0,2,3.985337
0,1,3.989361
0,2,3.999259
0,2,4.009896
0,1,4.014127
0,2,4.023402
0,1,4.027541
0,1,4.031332
0,1,4.037446
0,1,4.040371
0,1,4.045444
1.0,2,4.052961
0,2,4.0608
1.0,2,4.142757
0,1,4.146471
0,2,4.155113
1.0,2,4.165939
1.0,2,4.173772
1.0,2,4.183953
0,2,4.195621
0,1,4.19984
1.0,2,4.20841
0,1,4.212809
0,1,4.218379
0,1,4.222653
0,1,4.228141
1.0,2,4.309922
0,2,4.318062
0,2,4.32848
1.0,2,4.340497
1.0,2,4.349339
1.0,2,4.357439
2.0,3,4.371244
0,2,4.381614
0,2,4.390955
1.0,2,4.399612
1.0,2,4.474561
1.0,2,4.480339
1.0,2,4.489364
0,1,4.494828
1.0,2,4.503709
1.0,2,4.512113
1.0,2,4.521456
0,2,4.527786
3.0,4,4.544375
1.0,2,4.639897
0,2,4.647692
0,2,4.657954
0,2,4.669462
0,1,4.676206
0,2,4.685578
1.0,2,4.69528
0,2,4.704325
1.0,2,4.712454
0,1,4.716033
0,2,4.723082
1.0,2,4.803818
1.0,2,4.814138
1.0,2,4.824492
0,1,4.828075
2.0,3,4.841858
1.0,2,4.851744
1.0,2,4.861055
1.0,2,4.872086
0,2,4.881096
0,2,4.888492
0,2,4.964756
0,1,4.970656
2.0,3,4.983914
1.0,2,4.995998
1.0,2,5.008361
0,1,5.011908
0,2,5.02117
0,2,5.030229
0,1,5.035429
0,1,5.040592
0,2,5.049454
0,2,5.058571
0,2,5.139449
0,2,5.146296
0,2,5.153879
0,2,5.162602
1.0,2,5.170539
1.0,2,5.180372
0,1,5.18442
1.0,2,5.198396
0,2,5.207532
1.0,2,5.218895
0,1,5.223804
