#{"t_start": 1514340648.9202754, "gym_version": "0.9.3", "env_id": "ddrp_options-v0"}
r,l,t
0,2,1.688044
0,2,1.69936
1.0,2,1.709806
1.0,2,1.71952
0,2,1.728683
0,2,1.73644
1.0,2,1.746686
0,2,1.755395
1.0,2,1.764729
1.0,2,1.774419
0,2,2.01747
0,1,2.021343
0,1,2.02723
0,1,2.03423
0,2,2.044511
0,1,2.052165
0,2,2.05979
0,2,2.068525
2.0,3,2.080471
1.0,2,2.089599
0,1,2.093656
0,2,2.104449
0,2,2.177936
0,1,2.182027
0,1,2.187258
0,1,2.191344
0,2,2.199931
0,1,2.205197
0,2,2.213473
0,1,2.218689
0,2,2.228553
0,2,2.23605
1.0,2,2.24728
1.0,2,2.2563
1.0,2,2.32667
0,2,2.336131
1.0,2,2.345505
1.0,2,2.35592
1.0,2,2.366157
0,1,2.370587
1.0,2,2.37863
0,1,2.383421
0,2,2.393457
0,1,2.396968
1.0,2,2.405936
0,2,2.414172
0,2,2.489654
0,2,2.49829
1.0,2,2.50616
1.0,2,2.514153
1.0,2,2.524151
0,1,2.528434
1.0,2,2.536611
0,2,2.54383
1.0,2,2.553605
0,2,2.564654
1.0,2,2.635976
0,2,2.64487
1.0,2,2.652654
0,1,2.657215
1.0,2,2.665922
0,1,2.67246
0,1,2.676115
0,1,2.680865
0,1,2.687726
2.0,3,2.701564
1.0,2,2.710602
1.0,2,2.721712
1.0,2,2.800492
1.0,2,2.80736
1.0,2,2.816774
0,1,2.822667
1.0,2,2.829858
1.0,2,2.840159
0,2,2.847649
0,2,2.855628
0,2,2.866325
0,2,2.875042
0,1,2.87835
0,1,2.884079
0,2,2.956704
0,1,2.966898
1.0,2,2.978809
0,1,2.985521
0,2,2.994958
0,2,3.005652
1.0,2,3.01477
0,2,3.022251
0,2,3.032444
0,1,3.038722
1.0,2,3.048943
1.0,2,3.123125
1.0,2,3.131992
0,1,3.135987
1.0,2,3.145282
2.0,3,3.158094
0,2,3.16906
0,1,3.172675
0,2,3.183829
0,2,3.191828
2.0,3,3.205936
0,2,3.281208
0,1,3.287353
0,2,3.298492
0,2,3.308198
0,2,3.316888
0,2,3.326195
1.0,2,3.335248
2.0,3,3.349846
0,2,3.361652
0,2,3.371282
1.0,2,3.454293
1.0,2,3.468442
0,1,3.472479
0,2,3.481626
0,1,3.486633
0,2,3.500651
0,2,3.512387
1.0,2,3.521356
0,2,3.531459
1.0,2,3.540349
0,2,3.549156
0,1,3.55328
0,2,3.630349
2.0,3,3.640169
0,1,3.645216
0,2,3.654373
0,2,3.662042
0,1,3.665441
1.0,2,3.67867
2.0,3,3.695979
0,1,3.700694
1.0,2,3.710413
0,2,3.795729
1.0,2,3.804102
0,1,3.808435
0,2,3.816548
1.0,2,3.824434
0,2,3.831564
0,2,3.839507
0,2,3.847903
0,2,3.856717
0,1,3.862577
0,2,3.874698
0,2,3.965772
0,2,3.973562
0,2,3.983369
0,2,3.992181
0,2,4.00181
0,2,4.012626
0,1,4.015501
0,1,4.02044
1.0,2,4.028783
0,2,4.035443
1.0,2,4.045051
1.0,2,4.126964
0,1,4.130806
0,1,4.135991
1.0,2,4.145991
0,1,4.148942
0,2,4.158975
0,2,4.168069
0,1,4.173893
0,2,4.184048
0,1,4.187667
0,2,4.197734
0,2,4.207013
1.0,2,4.2177
2.0,3,4.301777
0,2,4.312566
0,2,4.324651
1.0,2,4.333537
1.0,2,4.341478
0,1,4.346287
0,2,4.356439
2.0,3,4.37027
1.0,2,4.379563
0,1,4.383783
0,2,4.456934
0,2,4.464916
1.0,2,4.474748
1.0,2,4.484818
1.0,2,4.491985
0,2,4.502127
0,2,4.508677
1.0,2,4.516153
0,1,4.521274
0,1,4.524944
0,2,4.534219
0,1,4.624132
0,2,4.632709
1.0,2,4.642158
0,2,4.654527
0,2,4.665565
0,1,4.670919
1.0,2,4.680859
0,2,4.689842
1.0,2,4.697575
0,2,4.703613
0,1,4.70885
0,1,4.712388
0,2,4.793435
0,1,4.797041
1.0,2,4.808741
0,2,4.817485
0,2,4.826846
1.0,2,4.835961
1.0,2,4.845423
0,1,4.849704
1.0,2,4.860846
1.0,2,4.869455
0,1,4.873416
1.0,2,4.94919
1.0,2,4.957659
0,2,4.968128
0,1,4.975791
1.0,2,4.98661
0,2,4.99654
0,1,5.000658
0,1,5.005307
0,1,5.011087
0,2,5.019435
0,2,5.030253
0,2,5.038167
0,1,5.041655
1.0,2,5.122902
0,2,5.130459
0,1,5.134066
0,1,5.139426
0,1,5.142294
0,2,5.15136
0,1,5.154201
1.0,2,5.164419
1.0,2,5.177257
0,2,5.187953
0,1,5.191776
1.0,2,5.202846
1.0,2,5.289414
1.0,2,5.299038
2.0,3,5.315486
1.0,2,5.324841
1.0,2,5.33397
0,2,5.342937
0,2,5.351384
0,2,5.360008
0,1,5.370073
1.0,2,5.379826
0,2,5.464697
0,1,5.470219
2.0,3,5.486117
0,2,5.496429
0,2,5.50501
1.0,2,5.513046
0,2,5.521364
0,2,5.529827
0,1,5.534599
0,2,5.54203
0,2,5.550684
0,1,5.617941
0,2,5.627288
1.0,2,5.636673
1.0,2,5.64713
1.0,2,5.657501
0,1,5.660902
2.0,3,5.673842
0,1,5.680048
1.0,2,5.687774
0,2,5.699045
1.0,2,5.708075
1.0,2,5.783644
0,2,5.789805
2.0,3,5.803849
0,2,5.818572
0,1,5.823269
1.0,2,5.833209
0,2,5.841735
0,2,5.851546
1.0,2,5.861179
1.0,2,5.870062
1.0,2,5.950574
2.0,3,5.96363
0,2,5.972373
0,2,5.981214
1.0,2,5.988906
0,2,5.997783
0,1,6.003845
