#{"t_start": 1514340648.891894, "gym_version": "0.9.3", "env_id": "ddrp_options-v0"}
r,l,t
0,2,1.715715
0,2,1.726281
0,2,1.737538
1.0,2,1.746236
0,2,1.755721
0,2,1.764001
1.0,2,1.77375
1.0,2,1.782515
1.0,2,1.791792
0,2,1.801471
0,2,2.045457
1.0,2,2.055186
0,1,2.059911
1.0,2,2.071166
0,1,2.076985
1.0,2,2.087722
0,2,2.095349
1.0,2,2.103455
0,2,2.111837
0,2,2.120819
1.0,2,2.129982
0,1,2.201791
0,2,2.210078
1.0,2,2.219357
1.0,2,2.227912
0,2,2.237168
0,1,2.241527
0,2,2.250776
1.0,2,2.259699
1.0,2,2.269752
0,2,2.279638
0,2,2.287296
1.0,2,2.358634
0,2,2.368852
0,2,2.379741
1.0,2,2.388297
1.0,2,2.397521
1.0,2,2.406529
0,1,2.411875
0,2,2.419538
1.0,2,2.430419
0,2,2.438087
0,1,2.442098
1.0,2,2.517738
0,2,2.52637
1.0,2,2.534046
0,2,2.542145
1.0,2,2.552239
0,2,2.560042
0,1,2.564572
1.0,2,2.572005
1.0,2,2.581751
1.0,2,2.590989
0,2,2.664102
0,1,2.668222
0,2,2.676523
0,1,2.680603
0,1,2.685276
1.0,2,2.69387
1.0,2,2.704221
0,1,2.709015
1.0,2,2.720516
0,2,2.729687
1.0,2,2.73874
0,1,2.744185
0,1,2.748587
0,2,2.828119
0,2,2.835553
1.0,2,2.844485
1.0,2,2.853936
1.0,2,2.863682
1.0,2,2.872201
0,2,2.880048
0,2,2.88849
0,1,2.893283
0,2,2.903106
0,2,2.911891
0,2,2.984419
3.0,4,3.011976
1.0,2,3.02209
1.0,2,3.032431
0,2,3.041959
1.0,2,3.050055
0,1,3.054757
0,2,3.065338
0,2,3.076033
1.0,2,3.150224
0,2,3.16037
0,1,3.163792
0,1,3.168411
0,1,3.1733
1.0,2,3.18173
1.0,2,3.19161
0,1,3.196114
0,2,3.205598
1.0,2,3.215044
0,2,3.224683
1.0,2,3.23371
0,1,3.237974
0,2,3.314953
1.0,2,3.325472
0,2,3.33528
0,2,3.344281
0,2,3.353219
0,1,3.358212
0,1,3.363071
0,2,3.373066
0,2,3.384766
0,1,3.388408
2.0,3,3.4044
0,2,3.487886
0,2,3.499638
0,2,3.508631
1.0,2,3.519081
0,1,3.52782
2.0,3,3.544489
0,1,3.549456
0,1,3.554941
0,2,3.563707
0,2,3.572683
0,2,3.581372
0,1,3.65382
1.0,2,3.661524
0,2,3.668275
0,2,3.677564
0,2,3.685169
0,2,3.693653
1.0,2,3.70664
1.0,2,3.717417
0,2,3.727937
1.0,2,3.738399
0,1,3.741663
0,1,3.823674
1.0,2,3.831521
1.0,2,3.839558
0,1,3.843782
0,1,3.84774
0,1,3.851591
0,1,3.855929
0,1,3.859682
0,1,3.863668
1.0,2,3.872707
0,1,3.875806
1.0,2,3.883884
0,2,3.894153
1.0,2,3.9081
0,2,3.997623
1.0,2,4.006773
0,1,4.010499
1.0,2,4.019168
1.0,2,4.029099
0,1,4.034586
1.0,2,4.043492
0,2,4.05249
0,1,4.056717
0,2,4.063514
1.0,2,4.073193
0,2,4.155088
1.0,2,4.162829
0,2,4.173061
0,2,4.181938
2.0,3,4.195022
0,2,4.205074
0,2,4.21564
0,1,4.220781
0,1,4.227053
0,1,4.230668
0,2,4.240296
1.0,2,4.321348
1.0,2,4.329619
0,2,4.340758
0,1,4.345909
0,1,4.352211
0,1,4.357591
1.0,2,4.365668
1.0,2,4.374249
1.0,2,4.383548
0,1,4.388687
0,1,4.393945
1.0,2,4.403221
0,1,4.40771
1.0,2,4.482594
0,2,4.489392
0,2,4.497521
0,1,4.501663
0,1,4.507142
1.0,2,4.516001
1.0,2,4.524488
0,2,4.533294
0,1,4.53681
1.0,2,4.543725
0,2,4.552212
0,1,4.556541
0,2,4.652252
0,1,4.656268
1.0,2,4.664181
0,2,4.674737
1.0,2,4.688959
0,2,4.696867
0,2,4.707781
0,1,4.713331
0,1,4.716865
0,2,4.724764
1.0,2,4.731857
0,1,4.735474
1.0,2,4.817146
1.0,2,4.825222
0,1,4.83069
0,2,4.841829
0,1,4.845515
0,2,4.854131
1.0,2,4.863262
1.0,2,4.87335
1.0,2,4.883912
0,1,4.888912
0,1,4.892733
0,2,4.900776
0,2,4.977141
1.0,2,4.987798
1.0,2,4.996302
0,2,5.008332
1.0,2,5.019777
0,2,5.029526
0,2,5.038164
0,2,5.046971
0,2,5.05682
0,2,5.06591
0,1,5.069703
0,2,5.15097
0,2,5.158423
0,2,5.166225
0,2,5.174036
1.0,2,5.182411
0,2,5.191544
0,2,5.205077
0,2,5.215232
0,2,5.224869
1.0,2,5.236032
0,1,5.317589
0,2,5.326983
0,1,5.331321
0,2,5.342586
1.0,2,5.352183
0,2,5.361991
0,1,5.366119
0,2,5.374919
2.0,3,5.387766
0,2,5.403387
1.0,2,5.411247
0,1,5.492568
0,1,5.496828
0,2,5.50872
0,2,5.517955
0,2,5.528593
1.0,2,5.536904
0,2,5.54531
0,1,5.549295
2.0,3,5.562653
0,1,5.566657
1.0,2,5.574162
0,2,5.64598
0,2,5.653324
0,1,5.658492
0,2,5.670167
0,2,5.679612
0,1,5.684323
2.0,3,5.698246
0,2,5.706238
0,2,5.715729
0,1,5.71982
1.0,2,5.732222
1.0,2,5.80728
1.0,2,5.814302
0,1,5.817882
1.0,2,5.827149
0,1,5.831808
1.0,2,5.845942
0,2,5.855512
1.0,2,5.864313
0,2,5.87389
0,2,5.883653
1.0,2,5.893969
1.0,2,5.974797
2.0,3,5.986531
0,2,5.995579
0,2,6.004357
0,2,6.01304
0,2,6.020683
0,2,6.031118
0,1,6.035322
0,1,6.039323
1.0,2,6.04727
1.0,2,6.056916
2.0,3,6.143776
0,2,6.15452
0,2,6.163763
1.0,2,6.174019
0,1,6.17799
1.0,2,6.187204
0,2,6.194872
1.0,2,6.203797
1.0,2,6.212733
0,2,6.220956
0,1,6.288494
2.0,3,6.303464
0,1,6.308437
0,2,6.31975
1.0,2,6.327855
0,2,6.337111
0,1,6.341074
0,2,6.349246
0,2,6.357248
0,1,6.360741
0,2,6.368977
0,2,6.452138
0,1,6.45765
0,1,6.46294
0,1,6.467747
0,2,6.477197
0,2,6.486573
0,2,6.495799
1.0,2,6.503536
1.0,2,6.517819
0,1,6.521484
0,2,6.530805
1.0,2,6.538952
0,2,6.625165
0,1,6.628573
0,2,6.6386
0,1,6.643355
0,1,6.648166
1.0,2,6.658053
0,2,6.667685
0,2,6.677284
1.0,2,6.684281
1.0,2,6.691646
0,2,6.699484
0,1,6.703252
0,1,6.707711
0,2,6.806684
1.0,2,6.815278
0,2,6.827872
