#{"t_start": 1514340648.8944252, "gym_version": "0.9.3", "env_id": "ddrp_options-v0"}
r,l,t
1.0,2,1.713307
1.0,2,1.723439
0,2,1.735069
1.0,2,1.743731
2.0,3,1.758055
0,2,1.766512
1.0,2,1.776587
1.0,2,1.785444
0,2,1.794498
0,2,2.039166
1.0,2,2.046879
0,2,2.058476
1.0,2,2.068769
0,1,2.074473
0,2,2.08526
0,1,2.089371
1.0,2,2.097454
1.0,2,2.104901
0,1,2.109356
0,1,2.113451
0,2,2.123494
1.0,2,2.199295
0,2,2.207596
2.0,3,2.221563
1.0,2,2.230684
0,1,2.23468
0,2,2.243442
0,2,2.25318
0,1,2.257178
0,1,2.261559
1.0,2,2.271156
2.0,3,2.284841
1.0,2,2.356074
1.0,2,2.364951
0,2,2.37613
1.0,2,2.385787
1.0,2,2.394932
0,1,2.399881
0,2,2.408865
1.0,2,2.417098
1.0,2,2.426858
0,1,2.431314
0,1,2.435535
0,2,2.51089
1.0,2,2.519206
1.0,2,2.528035
1.0,2,2.536109
1.0,2,2.544199
0,1,2.549707
0,2,2.557545
0,1,2.562069
0,2,2.569487
0,1,2.575106
1.0,2,2.583869
1.0,2,2.5948
0,1,2.661595
1.0,2,2.669849
0,1,2.674022
1.0,2,2.682779
1.0,2,2.69138
0,2,2.701829
0,1,2.70651
0,2,2.71806
0,1,2.722977
0,2,2.732699
1.0,2,2.741724
1.0,2,2.751365
0,1,2.825665
0,2,2.833046
0,1,2.837394
0,1,2.84196
0,1,2.847994
1.0,2,2.855472
1.0,2,2.865782
0,2,2.873183
0,1,2.877206
1.0,2,2.885805
0,2,2.895535
1.0,2,2.904773
0,1,2.909345
0,1,2.976766
0,1,2.98188
0,1,2.991686
0,2,3.005987
0,2,3.014461
0,1,3.019578
0,2,3.032569
0,1,3.035796
0,2,3.043884
0,2,3.054246
0,1,3.057502
0,1,3.064166
1.0,2,3.07359
0,1,3.079418
0,1,3.1477
0,2,3.15664
1.0,2,3.167818
0,2,3.175992
0,1,3.179178
1.0,2,3.189226
1.0,2,3.198154
0,1,3.203179
0,2,3.212513
0,2,3.222218
1.0,2,3.231211
0,1,3.235885
0,1,3.306806
0,2,3.318089
0,1,3.323004
0,2,3.332854
2.0,3,3.345989
0,1,3.350587
1.0,2,3.360595
1.0,2,3.370507
0,2,3.380041
0,2,3.391763
0,2,3.401884
2.0,3,3.490864
1.0,2,3.501087
1.0,2,3.511773
0,1,3.516459
0,1,3.525337
1.0,2,3.537755
0,1,3.541967
1.0,2,3.552437
1.0,2,3.561285
0,2,3.570184
0,2,3.579002
1.0,2,3.655054
0,2,3.662904
0,2,3.670733
1.0,2,3.679208
1.0,2,3.686735
1.0,2,3.697125
0,2,3.709704
0,1,3.714789
1.0,2,3.725472
0,1,3.730954
1.0,2,3.739225
1.0,2,3.825148
0,1,3.829027
0,1,3.833031
0,2,3.841384
0,1,3.845224
1.0,2,3.853491
2.0,3,3.864168
0,2,3.873392
0,2,3.881429
0,2,3.89213
2.0,3,3.992565
0,2,3.999101
0,1,4.004242
2.0,3,4.01703
