#{"t_start": 1514340648.8988318, "gym_version": "0.9.3", "env_id": "ddrp_options-v0"}
r,l,t
1.0,2,1.708937
1.0,2,1.719059
0,2,1.730702
1.0,2,1.739447
2.0,3,1.753825
1.0,2,1.762656
0,1,1.768087
0,1,1.772223
1.0,2,1.781047
0,2,1.790048
0,2,2.034743
1.0,2,2.042563
0,2,2.054078
0,1,2.059009
0,2,2.070227
0,1,2.076656
0,1,2.080834
0,2,2.088451
0,2,2.096567
0,1,2.1005
1.0,2,2.109107
0,1,2.11392
1.0,2,2.122955
1.0,2,2.199176
0,2,2.208455
1.0,2,2.217222
0,2,2.226365
0,2,2.234683
1.0,2,2.244013
0,1,2.248806
0,2,2.25737
1.0,2,2.266816
0,1,2.27132
0,2,2.2805
0,1,2.347943
1.0,2,2.35576
0,2,2.366546
1.0,2,2.377219
0,1,2.382566
0,2,2.390563
1.0,2,2.399666
0,2,2.409066
1.0,2,2.418141
0,1,2.42246
1.0,2,2.432273
0,2,2.506533
0,2,2.514807
1.0,2,2.523674
0,1,2.528361
0,2,2.535329
0,1,2.539765
0,2,2.549557
1.0,2,2.557765
1.0,2,2.567024
0,1,2.570749
0,2,2.580713
0,1,2.584105
1.0,2,2.657207
0,1,2.661409
1.0,2,2.669677
0,1,2.673733
1.0,2,2.682605
0,2,2.692285
1.0,2,2.704631
2.0,3,2.718618
0,1,2.722773
0,2,2.733983
0,2,2.743129
0,1,2.748593
0,2,2.824964
0,2,2.833229
1.0,2,2.843651
2.0,3,2.856964
1.0,2,2.865422
1.0,2,2.87289
0,2,2.881433
0,2,2.890825
0,2,2.899552
0,2,2.972445
1.0,2,2.987301
0,2,3.001139
1.0,2,3.010108
0,1,3.017469
1.0,2,3.026844
1.0,2,3.034972
1.0,2,3.043189
0,2,3.05303
0,1,3.059778
0,1,3.065309
0,2,3.076526
0,1,3.145938
0,2,3.152253
0,1,3.156929
1.0,2,3.16651
0,1,3.17192
1.0,2,3.181012
1.0,2,3.189323
1.0,2,3.198758
1.0,2,3.208193
1.0,2,3.21785
0,1,3.221893
1.0,2,3.231156
0,2,3.308213
1.0,2,3.318786
0,2,3.32852
0,2,3.337915
1.0,2,3.346346
1.0,2,3.356246
0,2,3.366182
1.0,2,3.375488
0,1,3.381639
0,1,3.387379
0,2,3.397525
1.0,2,3.481033
0,1,3.487712
0,1,3.493223
0,1,3.496799
0,2,3.509095
0,1,3.512089
0,1,3.520974
0,1,3.526408
0,1,3.53328
0,2,3.542526
0,1,3.548051
1.0,2,3.556997
1.0,2,3.565853
0,2,3.574534
0,2,3.650666
1.0,2,3.658549
1.0,2,3.66638
0,1,3.670684
1.0,2,3.678322
1.0,2,3.686646
0,1,3.696023
0,1,3.699905
1.0,2,3.710517
0,2,3.721067
0,1,3.726589
0,2,3.734885
0,1,3.816832
0,1,3.820743
0,1,3.824669
0,2,3.832737
0,1,3.836974
0,1,3.840898
0,2,3.849122
0,1,3.852832
0,2,3.859795
1.0,2,3.868944
0,2,3.876968
1.0,2,3.887392
1.0,2,3.901232
1.0,2,3.990749
2.0,3,4.003695
0,1,4.008572
0,2,4.018547
0,2,4.029002
0,2,4.038233
0,2,4.046132
1.0,2,4.053504
0,2,4.06263
0,1,4.066291
0,1,4.070158
0,1,4.148206
0,1,4.151983
0,2,4.160601
0,2,4.171448
0,2,4.179263
0,2,4.189427
0,2,4.200047
1.0,2,4.208838
0,1,4.213821
0,2,4.22501
0,1,4.229362
0,1,4.233493
0,1,4.237776
0,2,4.318516
1.0,2,4.328744
0,2,4.339048
0,2,4.350701
0,1,4.354804
0,1,4.358733
1.0,2,4.367682
1.0,2,4.376767
0,1,4.381804
0,2,4.39151
1.0,2,4.400853
0,2,4.475665
0,2,4.482521
0,2,4.490658
0,2,4.500303
0,1,4.504961
0,2,4.513182
0,1,4.517358
0,1,4.523314
0,1,4.526349
1.0,2,4.533264
1.0,2,4.540865
3.0,4,4.645364
2.0,3,4.6574
0,2,4.668085
0,2,4.681901
1.0,2,4.690074
1.0,2,4.700911
1.0,2,4.709793
0,1,4.714032
1.0,2,4.721526
1.0,2,4.728744
0,1,4.733605
1.0,2,4.813669
1.0,2,4.823798
1.0,2,4.835792
1.0,2,4.842915
0,1,4.84723
0,1,4.852386
0,1,4.856387
0,2,4.866497
0,2,4.877371
1.0,2,4.885955
0,1,4.889926
0,1,4.893891
1.0,2,4.971231
0,1,4.974679
0,1,4.978938
1.0,2,4.9895
1.0,2,5.001489
0,1,5.007112
0,2,5.017277
0,2,5.026488
0,2,5.035833
0,1,5.040105
0,1,5.045244
0,1,5.049942
0,1,5.056132
1.0,2,5.063211
0,2,5.145764
2.0,3,5.156172
0,1,5.159329
1.0,2,5.167184
0,2,5.175385
0,2,5.184671
0,2,5.200314
1.0,2,5.208292
1.0,2,5.217806
0,2,5.229189
0,2,5.317224
1.0,2,5.325607
0,2,5.335786
0,2,5.3453
0,2,5.355117
1.0,2,5.364021
0,2,5.371663
1.0,2,5.380861
