#{"t_start": 1514340648.9307258, "gym_version": "0.9.3", "env_id": "ddrp_options-v0"}
r,l,t
1.0,2,1.678327
0,2,1.68896
0,1,1.695036
0,1,1.699852
0,1,1.703656
0,2,1.713101
1.0,2,1.722289
0,1,1.725785
2.0,3,1.740642
0,2,1.750026
0,2,1.759087
0,1,1.765701
1.0,2,2.007054
0,1,2.01267
0,1,2.016679
0,2,2.028119
1.0,2,2.039475
1.0,2,2.050279
0,1,2.053372
0,2,2.061427
1.0,2,2.068895
1.0,2,2.077452
0,2,2.087992
1.0,2,2.163467
0,1,2.168289
0,1,2.171706
0,2,2.181878
2.0,3,2.195045
0,2,2.204268
0,1,2.20771
0,2,2.217162
0,2,2.226239
0,2,2.235952
0,1,2.239915
1.0,2,2.249802
0,2,2.320051
0,1,2.324649
1.0,2,2.335076
0,1,2.341771
1.0,2,2.349871
1.0,2,2.360294
0,2,2.370026
3.0,4,2.387813
0,2,2.396204
0,2,2.403796
1.0,2,2.479275
0,2,2.487944
2.0,3,2.500128
0,2,2.50821
0,1,2.513771
0,2,2.521688
1.0,2,2.530573
1.0,2,2.539214
1.0,2,2.548339
1.0,2,2.558841
0,2,2.630011
0,2,2.639218
0,2,2.646992
1.0,2,2.655623
1.0,2,2.665884
0,1,2.670566
0,2,2.682547
0,2,2.692282
0,1,2.696697
2.0,3,2.711266
1.0,2,2.790132
0,1,2.793193
0,1,2.797011
0,2,2.806409
1.0,2,2.815874
1.0,2,2.825906
1.0,2,2.834036
0,2,2.841324
0,2,2.850752
0,2,2.859256
0,2,2.868708
0,2,2.940955
0,1,2.945798
0,2,2.962844
1.0,2,2.973749
0,1,2.979595
0,1,2.983564
0,2,2.996653
0,2,3.003651
0,2,3.011811
0,2,3.021382
1.0,2,3.033955
0,2,3.043472
0,1,3.111858
1.0,2,3.120845
0,1,3.125513
0,1,3.130091
2.0,3,3.143886
0,1,3.147722
1.0,2,3.157963
0,1,3.163568
0,2,3.170918
0,1,3.17719
0,1,3.18163
2.0,3,3.1957
0,1,3.200001
1.0,2,3.277153
0,1,3.282961
0,2,3.292175
0,2,3.301327
1.0,2,3.310206
0,1,3.314811
0,1,3.31998
0,2,3.331159
0,2,3.339453
0,2,3.351236
1.0,2,3.360988
0,2,3.444034
1.0,2,3.457482
1.0,2,3.466633
0,1,3.472482
0,2,3.482451
0,1,3.491179
1.0,2,3.502212
0,1,3.507346
0,1,3.512656
1.0,2,3.521112
0,2,3.530126
0,2,3.539793
0,2,3.615391
0,2,3.623059
0,2,3.631129
0,2,3.639221
1.0,2,3.64779
0,1,3.651749
1.0,2,3.664161
0,2,3.675829
1.0,2,3.685549
0,1,3.689945
1.0,2,3.700193
0,2,3.785405
0,2,3.793951
0,2,3.801952
0,1,3.805473
1.0,2,3.814246
0,1,3.81743
1.0,2,3.825351
0,1,3.82826
0,2,3.837428
1.0,2,3.845627
0,2,3.85575
1.0,2,3.87063
2.0,3,3.963173
0,2,3.97286
0,1,3.977626
0,2,3.98692
0,1,3.991198
0,1,3.996957
1.0,2,4.005168
0,1,4.010137
1.0,2,4.019099
0,2,4.025095
0,2,4.034673
1.0,2,4.117435
0,1,4.121036
0,2,4.129716
1.0,2,4.138676
1.0,2,4.148535
1.0,2,4.158247
0,1,4.163529
0,1,4.168411
0,2,4.177399
1.0,2,4.186788
0,2,4.197357
0,2,4.206243
0,2,4.286923
1.0,2,4.297116
0,2,4.307515
0,1,4.314826
0,1,4.319083
0,2,4.327317
0,2,4.336455
0,1,4.341488
0,2,4.351412
1.0,2,4.360598
0,2,4.369923
0,1,4.37444
0,2,4.447378
1.0,2,4.454278
0,2,4.463349
0,1,4.468809
0,2,4.478394
1.0,2,4.48828
1.0,2,4.494985
0,1,4.49903
0,2,4.506025
0,2,4.513744
0,1,4.518842
0,1,4.523103
1.0,2,4.618629
1.0,2,4.625911
1.0,2,4.639086
0,2,4.650036
1.0,2,4.66065
0,1,4.66422
1.0,2,4.673447
2.0,3,4.686422
1.0,2,4.693991
0,2,4.702049
0,1,4.776189
1.0,2,4.788175
1.0,2,4.797457
0,2,4.808146
0,2,4.816699
0,1,4.821895
0,1,4.824766
0,2,4.834913
1.0,2,4.846471
0,1,4.850399
0,2,4.858953
1.0,2,4.866342
1.0,2,4.944213
0,1,4.947416
0,1,4.953476
1.0,2,4.966022
0,1,4.971311
0,2,4.981517
0,1,4.986715
0,1,4.99166
0,1,4.995911
1.0,2,5.005336
1.0,2,5.013698
0,2,5.022993
0,2,5.031839
0,2,5.11333
0,1,5.116836
1.0,2,5.123956
0,2,5.131978
0,1,5.135729
0,1,5.140738
0,1,5.143956
0,2,5.155174
0,1,5.158362
0,2,5.173236
0,2,5.181358
0,1,5.186857
0,1,5.192176
1.0,2,5.27806
1.0,2,5.289124
1.0,2,5.299444
0,2,5.309952
0,2,5.319973
1.0,2,5.328431
1.0,2,5.337202
2.0,3,5.349582
1.0,2,5.364297
0,2,5.372978
0,2,5.458354
1.0,2,5.469774
2.0,3,5.486
0,2,5.495541
0,2,5.502662
0,2,5.511074
1.0,2,5.520396
1.0,2,5.528491
1.0,2,5.535811
0,1,5.541113
1.0,2,5.611492
0,1,5.615827
2.0,3,5.63299
0,1,5.637069
0,2,5.646151
1.0,2,5.65497
2.0,3,5.66867
0,1,5.672744
0,2,5.68146
0,2,5.693765
1.0,2,5.770784
2.0,3,5.780316
0,2,5.789494
1.0,2,5.799152
0,2,5.812922
0,1,5.817298
1.0,2,5.826634
0,1,5.831424
0,1,5.836757
0,2,5.845751
1.0,2,5.856157
1.0,2,5.937034
0,2,5.944473
0,2,5.953209
0,2,5.962095
2.0,3,5.974698
1.0,2,5.983992
0,1,5.989352
0,1,5.992803
0,2,6.001927
2.0,3,6.013928
0,1,6.019079
1.0,2,6.101135
1.0,2,6.112143
0,2,6.121079
0,2,6.131189
1.0,2,6.139517
0,2,6.148732
0,2,6.157199
1.0,2,6.165385
1.0,2,6.174341
0,2,6.183041
0,2,6.257526
1.0,2,6.265894
2.0,3,6.281352
1.0,2,6.289551
2.0,3,6.302467
0,2,6.310972
1.0,2,6.318943
1.0,2,6.32724
0,2,6.335065
0,2,6.420516
0,2,6.429317
0,1,6.435058
0,2,6.443083
1.0,2,6.452272
0,2,6.461967
0,2,6.470237
0,1,6.477982
1.0,2,6.488142
0,2,6.496287
0,2,6.505181
0,2,6.59061
0,2,6.601777
0,2,6.610527
2.0,3,6.624332
0,1,6.630421
0,2,6.638843
0,2,6.646431
2.0,3,6.656763
1.0,2,6.664899
1.0,2,6.762494
1.0,2,6.772908
0,2,6.785623
0,2,6.797634
1.0,2,6.808161
1.0,2,6.819472
0,1,6.824665
1.0,2,6.832169
1.0,2,6.839936
0,2,6.847023
1.0,2,6.854571
1.0,2,6.940101
0,2,6.948195
1.0,2,6.958743
0,2,6.968598
0,2,6.976693
0,2,6.983692
0,1,6.988567
1.0,2,6.996542
2.0,3,7.008326
0,2,7.016925
1.0,2,7.088082
0,2,7.0978
2.0,3,7.110408
0,2,7.119131
0,2,7.127494
1.0,2,7.13695
0,2,7.146082
0,2,7.153961
1.0,2,7.163919
0,1,7.167602
2.0,3,7.251723
1.0,2,7.258595
1.0,2,7.266638
0,2,7.275748
0,2,7.283881
1.0,2,7.29238
0,2,7.30439
0,2,7.311775
1.0,2,7.320392
0,2,7.399074
0,2,7.407261
0,2,7.417264
0,2,7.424872
0,2,7.433609
0,2,7.443423
0,1,7.447219
0,2,7.455458
0,2,7.468008
0,2,7.477993
1.0,2,7.485984
0,1,7.557426
0,1,7.561001
0,1,7.566724
0,1,7.571405
0,2,7.580932
2.0,3,7.593987
0,2,7.603954
1.0,2,7.614799
1.0,2,7.622047
1.0,2,7.631771
0,1,7.636207
1.0,2,7.645299
0,2,7.728977
1.0,2,7.738779
2.0,3,7.751
2.0,3,7.760856
2.0,3,7.776012
2.0,3,7.789709
1.0,2,7.797613
1.0,2,7.805216
0,2,7.887597
0,1,7.891762
2.0,3,7.906946
1.0,2,7.921433
0,2,7.931183
0,2,7.93979
2.0,3,7.955194
0,2,7.965452
1.0,2,7.97539
1.0,2,8.054611
2.0,3,8.066009
0,2,8.080119
1.0,2,8.088703
4.0,5,8.108379
2.0,3,8.121076
1.0,2,8.130435
3.0,4,8.224778
0,2,8.23186
1.0,2,8.240558
1.0,2,8.24988
0,2,8.257988
3.0,4,8.281523
0,2,8.289166
0,2,8.298782
1.0,2,8.308235
0,2,8.401592
0,2,8.412091
2.0,3,8.423845
2.0,3,8.434754
1.0,2,8.4421
1.0,2,8.451031
2.0,3,8.465948
0,2,8.483052
1.0,2,8.571412
0,2,8.578047
0,2,8.586406
0,2,8.59394
0,2,8.602702
2.0,3,8.616662
0,2,8.625022
1.0,2,8.632726
0,2,8.640846
1.0,2,8.649307
1.0,2,8.718782
1.0,2,8.726694
2.0,3,8.741179
1.0,2,8.759149
2.0,3,8.775498
0,2,8.784533
0,2,8.793691
2.0,3,8.810751
2.0,3,8.901713
1.0,2,8.909785
1.0,2,8.917142
4.0,5,8.941875
4.0,5,8.970753
2.0,3,8.983851
0,2,9.072163
1.0,2,9.083434
0,2,9.092211
3.0,4,9.107956
1.0,2,9.115909
1.0,2,9.123683
2.0,3,9.135614
1.0,2,9.143907
2.0,3,9.229035
