value_loss,policy_entropy,total_timesteps,nupdates,explained_variance,fps
0.00440775603055954,1.3531568050384521,80,1,-88.76235961914062,434
0.001690208911895752,1.3518413305282593,8000,100,-0.02064049243927002,582
0.0030641949269920588,1.3505899906158447,16000,200,-0.6249067783355713,582
0.009179367683827877,1.3600983619689941,24000,300,-0.4068753719329834,580
0.0027605388313531876,1.3674771785736084,32000,400,-0.2751147747039795,578
0.00094648078083992,1.3800801038742065,40000,500,-0.432811975479126,569
0.04824315011501312,1.3842171430587769,48000,600,0.036754310131073,564
0.0020837360061705112,1.3567651510238647,56000,700,-0.1487119197845459,565
0.012300638481974602,1.341117262840271,64000,800,0.005988001823425293,567
0.012883240357041359,1.3722740411758423,72000,900,-0.005499124526977539,567
0.0062993974424898624,1.3210527896881104,80000,1000,-0.08614528179168701,567
0.05662747099995613,1.3322932720184326,88000,1100,-0.016280174255371094,567
0.012716971337795258,1.3542600870132446,96000,1200,0.023575246334075928,567
0.005208688788115978,1.3642683029174805,104000,1300,0.014352500438690186,567
0.02989644929766655,1.3669154644012451,112000,1400,-0.00828087329864502,568
0.0018398819956928492,1.380783200263977,120000,1500,-0.07098555564880371,568
0.002054208191111684,1.3832862377166748,128000,1600,0.0036916136741638184,569
0.030626416206359863,1.385960578918457,136000,1700,0.04201847314834595,570
0.0006132919224910438,1.3854658603668213,144000,1800,0.27016836404800415,569
0.03800228610634804,1.381136178970337,152000,1900,0.03124070167541504,570
0.0007273411029018462,1.3858569860458374,160000,2000,0.18558472394943237,571
0.004343547858297825,1.3833444118499756,168000,2100,0.010577380657196045,571
0.0024805814027786255,1.382629632949829,176000,2200,-0.16255652904510498,572
0.0036683804355561733,1.378827452659607,184000,2300,-0.05004596710205078,572
0.00019947058171965182,1.3823992013931274,192000,2400,0.1731191873550415,572
0.008756423369050026,1.364311933517456,200000,2500,0.028913438320159912,572
0.06363584101200104,1.3743499517440796,208000,2600,0.059257328510284424,571
0.004822243005037308,1.3835890293121338,216000,2700,0.03736072778701782,570
4.893743243883364e-05,1.3637629747390747,224000,2800,0.5719627141952515,570
0.00118184310849756,1.3734792470932007,232000,2900,0.3184838891029358,570
0.022138450294733047,1.379582166671753,240000,3000,0.11349731683731079,570
0.002453120891004801,1.384049415588379,248000,3100,0.0772104263305664,571
0.005644802004098892,1.3818610906600952,256000,3200,0.1551721692085266,571
0.020880384370684624,1.3843809366226196,264000,3300,0.15240716934204102,571
0.023584982380270958,1.3813310861587524,272000,3400,0.05802828073501587,571
0.012189294211566448,1.385158896446228,280000,3500,0.0838974118232727,571
0.027513254433870316,1.3842169046401978,288000,3600,0.1125836968421936,571
0.018464652821421623,1.3837614059448242,296000,3700,0.07381075620651245,571
0.0008348116534762084,1.3830448389053345,304000,3800,0.3115003705024719,570
0.019149821251630783,1.3785278797149658,312000,3900,0.0636095404624939,570
0.022650176659226418,1.380568027496338,320000,4000,0.13526427745819092,569
0.01776731014251709,1.3806006908416748,328000,4100,0.31748026609420776,569
0.0022154294420033693,1.375685691833496,336000,4200,0.3915814161300659,569
0.028650600463151932,1.3739230632781982,344000,4300,0.3156905174255371,569
0.0014181704027578235,1.3826497793197632,352000,4400,0.10037696361541748,569
0.0014579624403268099,1.3825581073760986,360000,4500,0.6086769998073578,569
0.0004536784254014492,1.3846924304962158,368000,4600,0.8170896619558334,569
